drug,source,field,token
PACLITAXEL,drug_sample,PUTATIVE_TARGET,TLR4
PACLITAXEL,drug_sample,PUTATIVE_TARGET,TUBB
PACLITAXEL,drug_sample,PUTATIVE_TARGET,TUBB1
PACLITAXEL,drug_sample,PATHWAY_NAME,Mitosis
CYCLOPAMINE,drug_sample,PUTATIVE_TARGET,SMO
CYCLOPAMINE,drug_sample,PATHWAY_NAME,Other
AZ628,drug_sample,PUTATIVE_TARGET,BRAF
AZ628,drug_sample,PATHWAY_NAME,ERK MAPK signaling
SORAFENIB,drug_sample,PUTATIVE_TARGET,BRAF
SORAFENIB,drug_sample,PUTATIVE_TARGET,DDR2
SORAFENIB,drug_sample,PUTATIVE_TARGET,FGFR1
SORAFENIB,drug_sample,PUTATIVE_TARGET,FLT1
SORAFENIB,drug_sample,PUTATIVE_TARGET,FLT3
SORAFENIB,drug_sample,PUTATIVE_TARGET,FLT4
SORAFENIB,drug_sample,PUTATIVE_TARGET,KDR
SORAFENIB,drug_sample,PUTATIVE_TARGET,KIT
SORAFENIB,drug_sample,PUTATIVE_TARGET,PDGFR
SORAFENIB,drug_sample,PUTATIVE_TARGET,PDGFRB
SORAFENIB,drug_sample,PUTATIVE_TARGET,RAF
SORAFENIB,drug_sample,PUTATIVE_TARGET,RAF1
SORAFENIB,drug_sample,PUTATIVE_TARGET,RET
SORAFENIB,drug_sample,PUTATIVE_TARGET,VEGFR
SORAFENIB,drug_sample,PATHWAY_NAME,Other
SORAFENIB,drug_sample,PATHWAY_NAME,RTK signaling
SORAFENIB,drug_sample,PATHWAY_NAME,kinases
TOZASERTIB,drug_sample,PUTATIVE_TARGET,AURKA
TOZASERTIB,drug_sample,PUTATIVE_TARGET,AURKB
TOZASERTIB,drug_sample,PUTATIVE_TARGET,AURKC
TOZASERTIB,drug_sample,PUTATIVE_TARGET,LCK
TOZASERTIB,drug_sample,PUTATIVE_TARGET,others
TOZASERTIB,drug_sample,PATHWAY_NAME,Mitosis
IMATINIB,drug_sample,PUTATIVE_TARGET,ABL
IMATINIB,drug_sample,PUTATIVE_TARGET,ABL1
IMATINIB,drug_sample,PUTATIVE_TARGET,CSF1R
IMATINIB,drug_sample,PUTATIVE_TARGET,DDR1
IMATINIB,drug_sample,PUTATIVE_TARGET,KIT
IMATINIB,drug_sample,PUTATIVE_TARGET,NTRK1
IMATINIB,drug_sample,PUTATIVE_TARGET,PDGFR
IMATINIB,drug_sample,PUTATIVE_TARGET,PDGFRA
IMATINIB,drug_sample,PUTATIVE_TARGET,PDGFRB
IMATINIB,drug_sample,PUTATIVE_TARGET,RET
IMATINIB,drug_sample,PATHWAY_NAME,Other
IMATINIB,drug_sample,PATHWAY_NAME,kinases
NVP-TAE684,drug_sample,PUTATIVE_TARGET,ALK
NVP-TAE684,drug_sample,PUTATIVE_TARGET,INSR
NVP-TAE684,drug_sample,PATHWAY_NAME,RTK signaling
CRIZOTINIB,drug_sample,PUTATIVE_TARGET,ALK
CRIZOTINIB,drug_sample,PUTATIVE_TARGET,MET
CRIZOTINIB,drug_sample,PUTATIVE_TARGET,ROS1
CRIZOTINIB,drug_sample,PATHWAY_NAME,RTK signaling
SARACATINIB,drug_sample,PUTATIVE_TARGET,ABL
SARACATINIB,drug_sample,PUTATIVE_TARGET,ABL1
SARACATINIB,drug_sample,PUTATIVE_TARGET,LCK
SARACATINIB,drug_sample,PUTATIVE_TARGET,SRC
SARACATINIB,drug_sample,PUTATIVE_TARGET,YES1
SARACATINIB,drug_sample,PATHWAY_NAME,Other
SARACATINIB,drug_sample,PATHWAY_NAME,kinases
S-TRITYL-L-CYSTEINE,drug_sample,PUTATIVE_TARGET,KIF11
S-TRITYL-L-CYSTEINE,drug_sample,PATHWAY_NAME,Mitosis
Z-LLNLE-CHO,drug_sample,PUTATIVE_TARGET,gamma-secretase
Z-LLNLE-CHO,drug_sample,PATHWAY_NAME,Other
DASATINIB,drug_sample,PUTATIVE_TARGET,ABL
DASATINIB,drug_sample,PUTATIVE_TARGET,ABL1
DASATINIB,drug_sample,PUTATIVE_TARGET,ABL2
DASATINIB,drug_sample,PUTATIVE_TARGET,BLK
DASATINIB,drug_sample,PUTATIVE_TARGET,EPHA2
DASATINIB,drug_sample,PUTATIVE_TARGET,Ephrins
DASATINIB,drug_sample,PUTATIVE_TARGET,FGR
DASATINIB,drug_sample,PUTATIVE_TARGET,FRK
DASATINIB,drug_sample,PUTATIVE_TARGET,FYN
DASATINIB,drug_sample,PUTATIVE_TARGET,HCK
DASATINIB,drug_sample,PUTATIVE_TARGET,KIT
DASATINIB,drug_sample,PUTATIVE_TARGET,LCK
DASATINIB,drug_sample,PUTATIVE_TARGET,LYN
DASATINIB,drug_sample,PUTATIVE_TARGET,PDGFR
DASATINIB,drug_sample,PUTATIVE_TARGET,PDGFRB
DASATINIB,drug_sample,PUTATIVE_TARGET,SRC
DASATINIB,drug_sample,PUTATIVE_TARGET,SRMS
DASATINIB,drug_sample,PUTATIVE_TARGET,STAT5B
DASATINIB,drug_sample,PUTATIVE_TARGET,YES1
DASATINIB,drug_sample,PATHWAY_NAME,Other
DASATINIB,drug_sample,PATHWAY_NAME,RTK signaling
DASATINIB,drug_sample,PATHWAY_NAME,kinases
GNF-2,drug_sample,PUTATIVE_TARGET,BCR-ABL
GNF-2,drug_sample,PATHWAY_NAME,ABL signaling
CGP-60474,drug_sample,PUTATIVE_TARGET,CDK1
CGP-60474,drug_sample,PUTATIVE_TARGET,CDK2
CGP-60474,drug_sample,PUTATIVE_TARGET,CDK5
CGP-60474,drug_sample,PUTATIVE_TARGET,CDK7
CGP-60474,drug_sample,PUTATIVE_TARGET,CDK9
CGP-60474,drug_sample,PUTATIVE_TARGET,PKC
CGP-60474,drug_sample,PATHWAY_NAME,Cell cycle
CGP-082996,drug_sample,PUTATIVE_TARGET,CDK4
CGP-082996,drug_sample,PATHWAY_NAME,Cell cycle
A-770041,drug_sample,PUTATIVE_TARGET,FYN
A-770041,drug_sample,PUTATIVE_TARGET,LCK
A-770041,drug_sample,PATHWAY_NAME,Other
A-770041,drug_sample,PATHWAY_NAME,kinases
WH-4-023,drug_sample,PUTATIVE_TARGET,LCK
WH-4-023,drug_sample,PUTATIVE_TARGET,SRC
WH-4-023,drug_sample,PATHWAY_NAME,Other
WH-4-023,drug_sample,PATHWAY_NAME,kinases
WZ-1-84,drug_sample,PUTATIVE_TARGET,BMX
WZ-1-84,drug_sample,PATHWAY_NAME,Other
WZ-1-84,drug_sample,PATHWAY_NAME,kinases
BI-2536,drug_sample,PUTATIVE_TARGET,BRD4
BI-2536,drug_sample,PUTATIVE_TARGET,PLK1
BI-2536,drug_sample,PUTATIVE_TARGET,PLK2
BI-2536,drug_sample,PUTATIVE_TARGET,PLK3
BI-2536,drug_sample,PATHWAY_NAME,Cell cycle
BMS-536924,drug_sample,PUTATIVE_TARGET,IGF1R
BMS-536924,drug_sample,PUTATIVE_TARGET,IR
BMS-536924,drug_sample,PATHWAY_NAME,IGF1R signaling
BMS-509744,drug_sample,PUTATIVE_TARGET,ITK
BMS-509744,drug_sample,PATHWAY_NAME,Other
BMS-509744,drug_sample,PATHWAY_NAME,kinases
CMK,drug_sample,PUTATIVE_TARGET,RSK2
CMK,drug_sample,PATHWAY_NAME,Other
CMK,drug_sample,PATHWAY_NAME,kinases
PYRIMETHAMINE,drug_sample,PUTATIVE_TARGET,DHFR
PYRIMETHAMINE,drug_sample,PUTATIVE_TARGET,Dihydrofolate reductase (DHFR)
PYRIMETHAMINE,drug_sample,PUTATIVE_TARGET,SLC47A1
PYRIMETHAMINE,drug_sample,PATHWAY_NAME,Other
JW-7-52-1,drug_sample,PUTATIVE_TARGET,MTOR
JW-7-52-1,drug_sample,PATHWAY_NAME,MTOR signaling
JW-7-52-1,drug_sample,PATHWAY_NAME,PI3K
A-443654,drug_sample,PUTATIVE_TARGET,AKT1
A-443654,drug_sample,PUTATIVE_TARGET,AKT2
A-443654,drug_sample,PUTATIVE_TARGET,AKT3
A-443654,drug_sample,PATHWAY_NAME,MTOR signaling
A-443654,drug_sample,PATHWAY_NAME,PI3K
GW843682X,drug_sample,PUTATIVE_TARGET,PLK1
GW843682X,drug_sample,PATHWAY_NAME,Cell cycle
ENTINOSTAT,drug_sample,PUTATIVE_TARGET,HDAC1
ENTINOSTAT,drug_sample,PUTATIVE_TARGET,HDAC2
ENTINOSTAT,drug_sample,PUTATIVE_TARGET,HDAC3
ENTINOSTAT,drug_sample,PUTATIVE_TARGET,HDAC9
ENTINOSTAT,drug_sample,PATHWAY_NAME,Chromatin histone acetylation
PARTHENOLIDE,drug_sample,PUTATIVE_TARGET,HDAC1
PARTHENOLIDE,drug_sample,PATHWAY_NAME,Chromatin histone acetylation
GSK319347A,drug_sample,PUTATIVE_TARGET,IKK
GSK319347A,drug_sample,PATHWAY_NAME,Other
GSK319347A,drug_sample,PATHWAY_NAME,kinases
TGX221,drug_sample,PUTATIVE_TARGET,PI3Kbeta
TGX221,drug_sample,PATHWAY_NAME,MTOR signaling
TGX221,drug_sample,PATHWAY_NAME,PI3K
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMA1
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMA2
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMA3
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMA4
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMA5
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMA6
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMA7
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMA8
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB1
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB10
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB11
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB2
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB3
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB4
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB5
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB6
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB7
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB8
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB9
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMD1
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMD2
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,Proteasome
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,RELA
BORTEZOMIB,drug_sample,PATHWAY_NAME,Protein stability and degradation
XMD8-85,drug_sample,PUTATIVE_TARGET,BET
XMD8-85,drug_sample,PUTATIVE_TARGET,ERK5
XMD8-85,drug_sample,PATHWAY_NAME,Other
SELICICLIB,drug_sample,PUTATIVE_TARGET,CDK2
SELICICLIB,drug_sample,PUTATIVE_TARGET,CDK7
SELICICLIB,drug_sample,PUTATIVE_TARGET,CDK9
SELICICLIB,drug_sample,PATHWAY_NAME,Cell cycle
SALUBRINAL,drug_sample,PUTATIVE_TARGET,EIF2A
SALUBRINAL,drug_sample,PATHWAY_NAME,Other
LAPATINIB,drug_sample,PUTATIVE_TARGET,EGFR
LAPATINIB,drug_sample,PUTATIVE_TARGET,ERBB2
LAPATINIB,drug_sample,PATHWAY_NAME,EGFR signaling
LAPATINIB,drug_sample,PATHWAY_NAME,RTK signaling
GSK269962A,drug_sample,PUTATIVE_TARGET,ROCK1
GSK269962A,drug_sample,PUTATIVE_TARGET,ROCK2
GSK269962A,drug_sample,PATHWAY_NAME,Cytoskeleton
DOXORUBICIN,drug_sample,PUTATIVE_TARGET,Anthracycline
DOXORUBICIN,drug_sample,PUTATIVE_TARGET,TOP2A
DOXORUBICIN,drug_sample,PATHWAY_NAME,DNA replication
ETOPOSIDE,drug_sample,PUTATIVE_TARGET,TOP2
ETOPOSIDE,drug_sample,PUTATIVE_TARGET,TOP2A
ETOPOSIDE,drug_sample,PUTATIVE_TARGET,TOP2B
ETOPOSIDE,drug_sample,PATHWAY_NAME,DNA replication
GEMCITABINE,drug_sample,PUTATIVE_TARGET,CMPK1
GEMCITABINE,drug_sample,PUTATIVE_TARGET,Pyrimidine antimetabolite
GEMCITABINE,drug_sample,PUTATIVE_TARGET,RRM1
GEMCITABINE,drug_sample,PUTATIVE_TARGET,RRM2
GEMCITABINE,drug_sample,PUTATIVE_TARGET,TYMS
GEMCITABINE,drug_sample,PATHWAY_NAME,DNA replication
MITOMYCIN-C,drug_sample,PUTATIVE_TARGET,DNA crosslinker
MITOMYCIN-C,drug_sample,PATHWAY_NAME,DNA replication
VINORELBINE,drug_sample,PUTATIVE_TARGET,Microtubule destabiliser
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBA1A
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBA1B
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBA1C
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBA3C
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBA3D
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBA3E
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBA4A
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBB
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBB1
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBB2A
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBB2B
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBB3
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBB4A
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBB4B
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBB6
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBB8
VINORELBINE,drug_sample,PATHWAY_NAME,Mitosis
NSC-87877,drug_sample,PUTATIVE_TARGET,SHP-1 (PTPN6)
NSC-87877,drug_sample,PUTATIVE_TARGET,SHP-2 (PTPN11)
NSC-87877,drug_sample,PATHWAY_NAME,Other
BICALUTAMIDE,drug_sample,PUTATIVE_TARGET,AR
BICALUTAMIDE,drug_sample,PATHWAY_NAME,Hormone-related
QS11,drug_sample,PUTATIVE_TARGET,ARFGAP1
QS11,drug_sample,PATHWAY_NAME,Other
CP466722,drug_sample,PUTATIVE_TARGET,ATM
CP466722,drug_sample,PATHWAY_NAME,Genome integrity
MIDOSTAURIN,drug_sample,PUTATIVE_TARGET,FLT1
MIDOSTAURIN,drug_sample,PUTATIVE_TARGET,FLT3
MIDOSTAURIN,drug_sample,PUTATIVE_TARGET,PKC
MIDOSTAURIN,drug_sample,PUTATIVE_TARGET,PPK
MIDOSTAURIN,drug_sample,PUTATIVE_TARGET,PRKCG
MIDOSTAURIN,drug_sample,PUTATIVE_TARGET,c-FGR
MIDOSTAURIN,drug_sample,PUTATIVE_TARGET,others
MIDOSTAURIN,drug_sample,PATHWAY_NAME,Other
CHIR-99021,drug_sample,PUTATIVE_TARGET,CDK1
CHIR-99021,drug_sample,PUTATIVE_TARGET,GSK3A
CHIR-99021,drug_sample,PUTATIVE_TARGET,GSK3B
CHIR-99021,drug_sample,PUTATIVE_TARGET,MAPK1
CHIR-99021,drug_sample,PATHWAY_NAME,WNT signaling
PONATINIB,drug_sample,PUTATIVE_TARGET,ABL
PONATINIB,drug_sample,PUTATIVE_TARGET,ABL1
PONATINIB,drug_sample,PUTATIVE_TARGET,BCR
PONATINIB,drug_sample,PUTATIVE_TARGET,FGFR1
PONATINIB,drug_sample,PUTATIVE_TARGET,FGFR2
PONATINIB,drug_sample,PUTATIVE_TARGET,FGFR3
PONATINIB,drug_sample,PUTATIVE_TARGET,FGFR4
PONATINIB,drug_sample,PUTATIVE_TARGET,FLT3
PONATINIB,drug_sample,PUTATIVE_TARGET,KDR
PONATINIB,drug_sample,PUTATIVE_TARGET,KIT
PONATINIB,drug_sample,PUTATIVE_TARGET,LCK
PONATINIB,drug_sample,PUTATIVE_TARGET,LYN
PONATINIB,drug_sample,PUTATIVE_TARGET,PDGFRA
PONATINIB,drug_sample,PUTATIVE_TARGET,RET
PONATINIB,drug_sample,PUTATIVE_TARGET,SRC
PONATINIB,drug_sample,PUTATIVE_TARGET,TEK
PONATINIB,drug_sample,PUTATIVE_TARGET,TIE2
PONATINIB,drug_sample,PUTATIVE_TARGET,VEGFR2
PONATINIB,drug_sample,PATHWAY_NAME,Other
PONATINIB,drug_sample,PATHWAY_NAME,kinases
AZD6482,drug_sample,PUTATIVE_TARGET,PI3Kbeta
AZD6482,drug_sample,PUTATIVE_TARGET,PIK3CA
AZD6482,drug_sample,PUTATIVE_TARGET,PIK3CB
AZD6482,drug_sample,PUTATIVE_TARGET,PIK3CD
AZD6482,drug_sample,PUTATIVE_TARGET,PIK3CG
AZD6482,drug_sample,PATHWAY_NAME,MTOR signaling
AZD6482,drug_sample,PATHWAY_NAME,PI3K
JNK-9L,drug_sample,PUTATIVE_TARGET,JNK2
JNK-9L,drug_sample,PUTATIVE_TARGET,JNK3
JNK-9L,drug_sample,PATHWAY_NAME,JNK and p38 signaling
PF-562271,drug_sample,PUTATIVE_TARGET,FAK
PF-562271,drug_sample,PUTATIVE_TARGET,FAK2
PF-562271,drug_sample,PUTATIVE_TARGET,PTK2
PF-562271,drug_sample,PUTATIVE_TARGET,PTK2B
PF-562271,drug_sample,PATHWAY_NAME,Cytoskeleton
HG6-64-1,drug_sample,PUTATIVE_TARGET,BRAF
HG6-64-1,drug_sample,PATHWAY_NAME,ERK MAPK signaling
JQ1,drug_sample,PUTATIVE_TARGET,BRD2
JQ1,drug_sample,PUTATIVE_TARGET,BRD3
JQ1,drug_sample,PUTATIVE_TARGET,BRD4
JQ1,drug_sample,PUTATIVE_TARGET,BRDT
JQ1,drug_sample,PATHWAY_NAME,Chromatin other
JQ12,drug_sample,PUTATIVE_TARGET,HDAC1
JQ12,drug_sample,PUTATIVE_TARGET,HDAC2
JQ12,drug_sample,PATHWAY_NAME,Chromatin histone acetylation
DMOG,drug_sample,PUTATIVE_TARGET,HIF-PH
DMOG,drug_sample,PATHWAY_NAME,Metabolism
FTI-277,drug_sample,PUTATIVE_TARGET,Farnesyl-transferase (FNTA)
FTI-277,drug_sample,PATHWAY_NAME,Other
OSU-03012,drug_sample,PUTATIVE_TARGET,PDK1 (PDPK1)
OSU-03012,drug_sample,PATHWAY_NAME,Metabolism
SHIKONIN,drug_sample,PUTATIVE_TARGET,not defined
SHIKONIN,drug_sample,PATHWAY_NAME,Other
AKT INHIBITOR VIII,drug_sample,PUTATIVE_TARGET,AKT1
AKT INHIBITOR VIII,drug_sample,PUTATIVE_TARGET,AKT2
AKT INHIBITOR VIII,drug_sample,PUTATIVE_TARGET,AKT3
AKT INHIBITOR VIII,drug_sample,PATHWAY_NAME,MTOR signaling
AKT INHIBITOR VIII,drug_sample,PATHWAY_NAME,PI3K
EMBELIN,drug_sample,PUTATIVE_TARGET,XIAP
EMBELIN,drug_sample,PATHWAY_NAME,Apoptosis regulation
FH535,drug_sample,PUTATIVE_TARGET,PPARdelta
FH535,drug_sample,PUTATIVE_TARGET,PPARgamma
FH535,drug_sample,PATHWAY_NAME,Other
PAC-1,drug_sample,PUTATIVE_TARGET,CASP3
PAC-1,drug_sample,PUTATIVE_TARGET,Procaspase-3
PAC-1,drug_sample,PUTATIVE_TARGET,Procaspase-7
PAC-1,drug_sample,PATHWAY_NAME,Apoptosis regulation
IPA-3,drug_sample,PUTATIVE_TARGET,PAK1
IPA-3,drug_sample,PATHWAY_NAME,Cytoskeleton
GSK650394,drug_sample,PUTATIVE_TARGET,SGK1
GSK650394,drug_sample,PUTATIVE_TARGET,SGK2
GSK650394,drug_sample,PUTATIVE_TARGET,SGK3
GSK650394,drug_sample,PATHWAY_NAME,Other
GSK650394,drug_sample,PATHWAY_NAME,kinases
BAY-61-3606,drug_sample,PUTATIVE_TARGET,SYK
BAY-61-3606,drug_sample,PATHWAY_NAME,Other
BAY-61-3606,drug_sample,PATHWAY_NAME,kinases
5-FLUOROURACIL,drug_sample,PUTATIVE_TARGET,Antimetabolite (DNA & RNA)
5-FLUOROURACIL,drug_sample,PUTATIVE_TARGET,DPYD
5-FLUOROURACIL,drug_sample,PUTATIVE_TARGET,TYMS
5-FLUOROURACIL,drug_sample,PATHWAY_NAME,Other
THAPSIGARGIN,drug_sample,PUTATIVE_TARGET,SERCA
THAPSIGARGIN,drug_sample,PATHWAY_NAME,Other
OBATOCLAX MESYLATE,drug_sample,PUTATIVE_TARGET,BCL-W
OBATOCLAX MESYLATE,drug_sample,PUTATIVE_TARGET,BCL-XL
OBATOCLAX MESYLATE,drug_sample,PUTATIVE_TARGET,BCL2
OBATOCLAX MESYLATE,drug_sample,PUTATIVE_TARGET,MCL1
OBATOCLAX MESYLATE,drug_sample,PATHWAY_NAME,Apoptosis regulation
BMS-754807,drug_sample,PUTATIVE_TARGET,AKT1
BMS-754807,drug_sample,PUTATIVE_TARGET,IGF1R
BMS-754807,drug_sample,PUTATIVE_TARGET,IR
BMS-754807,drug_sample,PATHWAY_NAME,IGF1R signaling
BMS-754807,drug_sample,PATHWAY_NAME,RTK signaling
LINSITINIB,drug_sample,PUTATIVE_TARGET,IGF1R
LINSITINIB,drug_sample,PUTATIVE_TARGET,INSR
LINSITINIB,drug_sample,PUTATIVE_TARGET,INSRR
LINSITINIB,drug_sample,PATHWAY_NAME,IGF1R signaling
BEXAROTENE,drug_sample,PUTATIVE_TARGET,RXRA
BEXAROTENE,drug_sample,PUTATIVE_TARGET,RXRB
BEXAROTENE,drug_sample,PUTATIVE_TARGET,RXRG
BEXAROTENE,drug_sample,PUTATIVE_TARGET,Retinioic X receptor (RXR) agonist
BEXAROTENE,drug_sample,PATHWAY_NAME,Other
BLEOMYCIN,drug_sample,PUTATIVE_TARGET,dsDNA break induction
BLEOMYCIN,drug_sample,PATHWAY_NAME,DNA replication
LFM-A13,drug_sample,PUTATIVE_TARGET,BTK
LFM-A13,drug_sample,PATHWAY_NAME,Other
LFM-A13,drug_sample,PATHWAY_NAME,kinases
GW-2580,drug_sample,PUTATIVE_TARGET,CSF1R
GW-2580,drug_sample,PATHWAY_NAME,RTK signaling
LUMINESPIB,drug_sample,PUTATIVE_TARGET,HSP90
LUMINESPIB,drug_sample,PATHWAY_NAME,Protein stability and degradation
PHENFORMIN,drug_sample,PUTATIVE_TARGET,Biguanide agent
PHENFORMIN,drug_sample,PATHWAY_NAME,Other
BRYOSTATIN 1,drug_sample,PUTATIVE_TARGET,PKC
BRYOSTATIN 1,drug_sample,PATHWAY_NAME,Other
PAZOPANIB,drug_sample,PUTATIVE_TARGET,CSF1R
PAZOPANIB,drug_sample,PUTATIVE_TARGET,FGF1
PAZOPANIB,drug_sample,PUTATIVE_TARGET,FGFR1
PAZOPANIB,drug_sample,PUTATIVE_TARGET,FGFR3
PAZOPANIB,drug_sample,PUTATIVE_TARGET,FLT1
PAZOPANIB,drug_sample,PUTATIVE_TARGET,FLT4
PAZOPANIB,drug_sample,PUTATIVE_TARGET,ITK
PAZOPANIB,drug_sample,PUTATIVE_TARGET,KDR
PAZOPANIB,drug_sample,PUTATIVE_TARGET,KIT
PAZOPANIB,drug_sample,PUTATIVE_TARGET,PDGFRA
PAZOPANIB,drug_sample,PUTATIVE_TARGET,PDGFRB
PAZOPANIB,drug_sample,PUTATIVE_TARGET,SH2B3
PAZOPANIB,drug_sample,PATHWAY_NAME,RTK signaling
DACINOSTAT,drug_sample,PUTATIVE_TARGET,HDAC1
DACINOSTAT,drug_sample,PUTATIVE_TARGET,HDAC2
DACINOSTAT,drug_sample,PUTATIVE_TARGET,HDAC3
DACINOSTAT,drug_sample,PUTATIVE_TARGET,HDAC4
DACINOSTAT,drug_sample,PUTATIVE_TARGET,HDAC5
DACINOSTAT,drug_sample,PUTATIVE_TARGET,HDAC6
DACINOSTAT,drug_sample,PUTATIVE_TARGET,HDAC7
DACINOSTAT,drug_sample,PUTATIVE_TARGET,HDAC8
DACINOSTAT,drug_sample,PUTATIVE_TARGET,HDAC9
DACINOSTAT,drug_sample,PATHWAY_NAME,Chromatin histone acetylation
EPOTHILONE B,drug_sample,PUTATIVE_TARGET,Microtubule stabiliser
EPOTHILONE B,drug_sample,PATHWAY_NAME,Mitosis
GSK1904529A,drug_sample,PUTATIVE_TARGET,IGF1R
GSK1904529A,drug_sample,PUTATIVE_TARGET,INSR
GSK1904529A,drug_sample,PUTATIVE_TARGET,IR
GSK1904529A,drug_sample,PATHWAY_NAME,IGF1R signaling
GSK1904529A,drug_sample,PATHWAY_NAME,RTK signaling
BMS-345541,drug_sample,PUTATIVE_TARGET,CHUK
BMS-345541,drug_sample,PUTATIVE_TARGET,IKBKB
BMS-345541,drug_sample,PUTATIVE_TARGET,IKK-1
BMS-345541,drug_sample,PUTATIVE_TARGET,IKK-2
BMS-345541,drug_sample,PUTATIVE_TARGET,IKK1
BMS-345541,drug_sample,PUTATIVE_TARGET,IKK2
BMS-345541,drug_sample,PATHWAY_NAME,Other
BMS-345541,drug_sample,PATHWAY_NAME,kinases
TIPIFARNIB,drug_sample,PUTATIVE_TARGET,FNTA
TIPIFARNIB,drug_sample,PUTATIVE_TARGET,FNTB
TIPIFARNIB,drug_sample,PUTATIVE_TARGET,Farnesyl-transferase (FNTA)
TIPIFARNIB,drug_sample,PATHWAY_NAME,Other
AVAGACESTAT,drug_sample,PUTATIVE_TARGET,Amyloid beta20
AVAGACESTAT,drug_sample,PUTATIVE_TARGET,Amyloid beta40
