feature,raw_token,lodo_runs_evaluable,lodo_median_log2_odds_ratio,lodo_min_log2_odds_ratio,lodo_max_log2_odds_ratio,lodo_majority_direction,lodo_sign_consistency,lodo_p_lt_0_05_rate
rawtok_CASEIN_KINASE_I_ISOFORM_EPSILON,CASEIN KINASE I ISOFORM EPSILON,36,2.6322682154995127,2.237039197300849,2.807354922057604,enriched_in_improve,1.0,0.0
rawtok_CELL_CYCLE,CELL CYCLE,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_CHROMATIN_OTHER,CHROMATIN OTHER,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_CYCLIN_DEPENDENT_KINASE_1,CYCLIN-DEPENDENT KINASE 1,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_CYCLIN_DEPENDENT_KINASE_16,CYCLIN-DEPENDENT KINASE 16,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0
rawtok_CYCLIN_DEPENDENT_KINASE_5,CYCLIN-DEPENDENT KINASE 5,34,-2.7493493186220386,-2.9245925973419773,-2.7493493186220386,enriched_in_worsen,1.0,0.0
rawtok_CYCLIN_DEPENDENT_KINASE_7,CYCLIN-DEPENDENT KINASE 7,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0
rawtok_CYCLIN_G_ASSOCIATED_KINASE,CYCLIN-G-ASSOCIATED KINASE,36,3.079727192470734,2.807354922057604,3.2601228104138906,enriched_in_improve,1.0,0.0
rawtok_DELTA_TYPE_OPIOID_RECEPTOR,DELTA-TYPE OPIOID RECEPTOR,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_DISCOIDIN_DOMAIN_CONTAINING_RECEPTOR_2,DISCOIDIN DOMAIN-CONTAINING RECEPTOR 2,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_1,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_5,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 5,36,3.079727192470734,2.807354922057604,3.2601228104138906,enriched_in_improve,1.0,0.0
rawtok_DUAL_SPECIFICITY_PROTEIN_KINASE_CLK1,DUAL SPECIFICITY PROTEIN KINASE CLK1,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_DUAL_SPECIFICITY_PROTEIN_KINASE_CLK2,DUAL SPECIFICITY PROTEIN KINASE CLK2,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_DUAL_SPECIFICITY_TYROSINE_PHOSPHORYLATION_REGULATED_KINASE_1B,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE 1B,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0
rawtok_DUAL_SPECIFICITY_TYROSINE_PHOSPHORYLATION_REGULATED_KINASE_2,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE 2,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_D_3_DOPAMINE_RECEPTOR,D(3) DOPAMINE RECEPTOR,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_EGFR,EGFR,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_EGFR_SIGNALING,EGFR SIGNALING,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_EPHRIN_TYPE_A_RECEPTOR_1,EPHRIN TYPE-A RECEPTOR 1,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_EPHRIN_TYPE_A_RECEPTOR_3,EPHRIN TYPE-A RECEPTOR 3,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_EPHRIN_TYPE_A_RECEPTOR_5,EPHRIN TYPE-A RECEPTOR 5,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_EPHRIN_TYPE_A_RECEPTOR_8,EPHRIN TYPE-A RECEPTOR 8,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_EPHRIN_TYPE_B_RECEPTOR_1,EPHRIN TYPE-B RECEPTOR 1,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_EPHRIN_TYPE_B_RECEPTOR_4,EPHRIN TYPE-B RECEPTOR 4,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_EPHRIN_TYPE_B_RECEPTOR_6,EPHRIN TYPE-B RECEPTOR 6,36,3.079727192470734,2.807354922057604,3.2601228104138906,enriched_in_improve,1.0,0.0
rawtok_EPITHELIAL_DISCOIDIN_DOMAIN_CONTAINING_RECEPTOR_1,EPITHELIAL DISCOIDIN DOMAIN-CONTAINING RECEPTOR 1,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_EQUILIBRATIVE_NUCLEOSIDE_TRANSPORTER_1,EQUILIBRATIVE NUCLEOSIDE TRANSPORTER 1,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_ERK_MAPK_SIGNALING,ERK MAPK SIGNALING,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_FERROCHELATASE_MITOCHONDRIAL,"FERROCHELATASE, MITOCHONDRIAL",34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_1,FIBROBLAST GROWTH FACTOR RECEPTOR 1,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_2,FIBROBLAST GROWTH FACTOR RECEPTOR 2,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_FOCAL_ADHESION_KINASE_1,FOCAL ADHESION KINASE 1,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_GLYCOGEN_SYNTHASE_KINASE_3_BETA,GLYCOGEN SYNTHASE KINASE-3 BETA,36,-3.3378696387563838,-3.521050736900963,-2.9245925973419773,enriched_in_worsen,1.0,0.0
rawtok_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR,HEPATOCYTE GROWTH FACTOR RECEPTOR,36,0.9381947155265282,0.7517815912956469,1.778253802656838,enriched_in_improve,1.0,0.0
rawtok_HISTAMINE_H3_RECEPTOR,HISTAMINE H3 RECEPTOR,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_HOMEODOMAIN_INTERACTING_PROTEIN_KINASE_4,HOMEODOMAIN-INTERACTING PROTEIN KINASE 4,36,2.6322682154995127,2.237039197300849,2.807354922057604,enriched_in_improve,1.0,0.0
rawtok_INTERLEUKIN_1_RECEPTOR_ASSOCIATED_KINASE_1,INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 1,36,2.6322682154995127,2.237039197300849,2.807354922057604,enriched_in_improve,1.0,0.0
rawtok_INTERLEUKIN_1_RECEPTOR_ASSOCIATED_KINASE_3,INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 3,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_KAPPA_TYPE_OPIOID_RECEPTOR,KAPPA-TYPE OPIOID RECEPTOR,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_LEUCINE_RICH_REPEAT_SERINE_THREONINE_PROTEIN_KINASE_2,LEUCINE-RICH REPEAT SERINE/THREONINE-PROTEIN KINASE 2,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0
rawtok_LIM_DOMAIN_KINASE_1,LIM DOMAIN KINASE 1,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_MACROPHAGE_STIMULATING_PROTEIN_RECEPTOR,MACROPHAGE-STIMULATING PROTEIN RECEPTOR,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_MELANOCORTIN_RECEPTOR_3,MELANOCORTIN RECEPTOR 3,36,2.6322682154995127,2.237039197300849,2.807354922057604,enriched_in_improve,1.0,0.0
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_1,MITOGEN-ACTIVATED PROTEIN KINASE 1,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_10,MITOGEN-ACTIVATED PROTEIN KINASE 10,36,1.3985493764902748,1.1321946123648698,3.079727192470734,enriched_in_improve,1.0,0.0
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_11,MITOGEN-ACTIVATED PROTEIN KINASE 11,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_19,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 19,36,2.6322682154995127,2.237039197300849,2.807354922057604,enriched_in_improve,1.0,0.0
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_20,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 20,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_3,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 3,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_MITOSIS,MITOSIS,34,-2.7493493186220386,-2.9245925973419773,-2.7493493186220386,enriched_in_worsen,1.0,0.0
rawtok_MUSCARINIC_ACETYLCHOLINE_RECEPTOR_M1,MUSCARINIC ACETYLCHOLINE RECEPTOR M1,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_MUSCARINIC_ACETYLCHOLINE_RECEPTOR_M2,MUSCARINIC ACETYLCHOLINE RECEPTOR M2,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0
rawtok_MUSCARINIC_ACETYLCHOLINE_RECEPTOR_M3,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_MU_TYPE_OPIOID_RECEPTOR,MU-TYPE OPIOID RECEPTOR,36,-1.0884379646675837,-2.7493493186220386,-0.42742122373467617,enriched_in_worsen,1.0,0.0
rawtok_MYOSIN_LIGHT_CHAIN_KINASE_2_SKELETAL_CARDIAC_MUSCLE,"MYOSIN LIGHT CHAIN KINASE 2, SKELETAL/CARDIAC MUSCLE",34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_NON_RECEPTOR_TYROSINE_PROTEIN_KINASE_TYK2,NON-RECEPTOR TYROSINE-PROTEIN KINASE TYK2,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_NUAK_FAMILY_SNF1_LIKE_KINASE_2,NUAK FAMILY SNF1-LIKE KINASE 2,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_PAIRED_BOX_PROTEIN_PAX_8,PAIRED BOX PROTEIN PAX-8,34,-2.7493493186220386,-2.9245925973419773,-2.7493493186220386,enriched_in_worsen,1.0,0.0
rawtok_PARP1,PARP1,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_PARP2,PARP2,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_PARP_1,PARP 1,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_PARP_1_2_AND_3_INHIBITOR,"PARP 1, 2 AND 3 INHIBITOR",34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_PHOSPHATIDYLINOSITOL_3_KINASE_CATALYTIC_SUBUNIT_TYPE_3,PHOSPHATIDYLINOSITOL 3-KINASE CATALYTIC SUBUNIT TYPE 3,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_C2_DOMAIN_CONTAINING_SUBUNIT_A,PHOSPHATIDYLINOSITOL 4-PHOSPHATE 3-KINASE C2 DOMAIN-CONTAINING SUBUNIT ALPHA,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_C2_DOMAIN_CONTAINING_SUBUNIT_B,PHOSPHATIDYLINOSITOL 4-PHOSPHATE 3-KINASE C2 DOMAIN-CONTAINING SUBUNIT BETA,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_PHOSPHATIDYLINOSITOL_5_PHOSPHATE_4_KINASE_TYPE_2_GAMMA,PHOSPHATIDYLINOSITOL 5-PHOSPHATE 4-KINASE TYPE-2 GAMMA,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_PHOSPHORYLASE_B_KINASE_GAMMA_CATALYTIC_CHAIN_LIVER_TESTIS_ISOFORM,"PHOSPHORYLASE B KINASE GAMMA CATALYTIC CHAIN, LIVER/TESTIS ISOFORM",34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_PHOSPHORYLASE_B_KINASE_GAMMA_CATALYTIC_CHAIN_SKELETAL_MUSCLE_HEART_ISOFO,"PHOSPHORYLASE B KINASE GAMMA CATALYTIC CHAIN, SKELETAL MUSCLE/HEART ISOFORM",34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_PI3K_CLASS_1,PI3K (CLASS 1),34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_PI3_KINASE_CLASS_I_INHIBITOR,PI3-KINASE CLASS I INHIBITOR,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_ALPHA,PLATELET-DERIVED GROWTH FACTOR RECEPTOR ALPHA,36,-1.0884379646675837,-2.7493493186220386,-0.42742122373467617,enriched_in_worsen,1.0,0.0
rawtok_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_BETA,PLATELET-DERIVED GROWTH FACTOR RECEPTOR BETA,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_POLY_ADP_RIBOSE_POLYMERASE_1,POLY [ADP-RIBOSE] POLYMERASE 1,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_POLY_ADP_RIBOSE_POLYMERASE_2,POLY [ADP-RIBOSE] POLYMERASE 2,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_POLY_ADP_RIBOSE_POLYMERASE_TANKYRASE_1,POLY [ADP-RIBOSE] POLYMERASE TANKYRASE-1,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_POLY_ADP_RIBOSE_POLYMERASE_TANKYRASE_2,POLY [ADP-RIBOSE] POLYMERASE TANKYRASE-2,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_PROGESTERONE_RECEPTOR,PROGESTERONE RECEPTOR,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP10,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP10,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP12,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP12,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP14,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP14,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP3,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP3,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP4,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP4,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_RAF_PROTO_ONCOGENE_SERINE_THREONINE_PROTEIN_KINASE,RAF PROTO-ONCOGENE SERINE/THREONINE-PROTEIN KINASE,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_RECEPTOR_INTERACTING_SERINE_THREONINE_PROTEIN_KINASE_2,RECEPTOR-INTERACTING SERINE/THREONINE-PROTEIN KINASE 2,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0
rawtok_RECEPTOR_TYPE_TYROSINE_PROTEIN_KINASE_FLT3,RECEPTOR-TYPE TYROSINE-PROTEIN KINASE FLT3,36,0.655135940327806,0.29901370293936036,1.3985493764902748,enriched_in_improve,1.0,0.0
rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_2,RECEPTOR TYROSINE-PROTEIN KINASE ERBB-2,36,3.079727192470734,2.807354922057604,3.2601228104138906,enriched_in_improve,1.0,0.0
rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_3,RECEPTOR TYROSINE-PROTEIN KINASE ERBB-3,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_4,RECEPTOR TYROSINE-PROTEIN KINASE ERBB-4,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_RHO_ASSOCIATED_PROTEIN_KINASE_2,RHO-ASSOCIATED PROTEIN KINASE 2,34,-2.7493493186220386,-2.9245925973419773,-2.7493493186220386,enriched_in_worsen,1.0,0.0
rawtok_RIBOSOMAL_PROTEIN_S6_KINASE_ALPHA_3,RIBOSOMAL PROTEIN S6 KINASE ALPHA-3,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_RIBOSOMAL_PROTEIN_S6_KINASE_ALPHA_6,RIBOSOMAL PROTEIN S6 KINASE ALPHA-6,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_RTK_SIGNALING,RTK SIGNALING,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_SERINE_PROTEIN_KINASE_ATM,SERINE-PROTEIN KINASE ATM,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_SERINE_THREONINE_PROTEIN_KINASE_10,SERINE/THREONINE-PROTEIN KINASE 10,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0
rawtok_SERINE_THREONINE_PROTEIN_KINASE_17A,SERINE/THREONINE-PROTEIN KINASE 17A,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_SERINE_THREONINE_PROTEIN_KINASE_4,SERINE/THREONINE-PROTEIN KINASE 4,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_SERINE_THREONINE_PROTEIN_KINASE_B_RAF,SERINE/THREONINE-PROTEIN KINASE B-RAF,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0
rawtok_SERINE_THREONINE_PROTEIN_KINASE_CHK1,SERINE/THREONINE-PROTEIN KINASE CHK1,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_SERINE_THREONINE_PROTEIN_KINASE_CHK2,SERINE/THREONINE-PROTEIN KINASE CHK2,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_SERINE_THREONINE_PROTEIN_KINASE_D3,SERINE/THREONINE-PROTEIN KINASE D3,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_SERINE_THREONINE_PROTEIN_KINASE_MRCK_BETA,SERINE/THREONINE-PROTEIN KINASE MRCK BETA,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_SERINE_THREONINE_PROTEIN_KINASE_NEK2,SERINE/THREONINE-PROTEIN KINASE NEK2,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_SERINE_THREONINE_PROTEIN_KINASE_NLK,SERINE/THREONINE-PROTEIN KINASE NLK,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_SERINE_THREONINE_PROTEIN_KINASE_PAK_4,SERINE/THREONINE-PROTEIN KINASE PAK 4,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
