drug,source,field,token,theme
IMATINIB,drug_sample,PUTATIVE_TARGET,KIT,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
IMATINIB,drug_sample,PUTATIVE_TARGET,PDGFR,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
IMATINIB,drug_sample,PUTATIVE_TARGET,RET,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
NVP-TAE684,drug_sample,PUTATIVE_TARGET,ALK,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
NVP-TAE684,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
CRIZOTINIB,drug_sample,PUTATIVE_TARGET,ALK,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
CRIZOTINIB,drug_sample,PUTATIVE_TARGET,MET,MET_HGF_RTK
CRIZOTINIB,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
SARACATINIB,drug_sample,PUTATIVE_TARGET,LCK,SRC_LCK_NONRECEPTOR_TK
SARACATINIB,drug_sample,PUTATIVE_TARGET,SRC,SRC_LCK_NONRECEPTOR_TK
SARACATINIB,drug_sample,PUTATIVE_TARGET,YES1,SRC_LCK_NONRECEPTOR_TK
S-TRITYL-L-CYSTEINE,drug_sample,PUTATIVE_TARGET,KIF11,CELL_CYCLE_MITOSIS_KINASE
S-TRITYL-L-CYSTEINE,drug_sample,PATHWAY_NAME,Mitosis,CELL_CYCLE_MITOSIS_KINASE
DASATINIB,drug_sample,PUTATIVE_TARGET,BLK,SRC_LCK_NONRECEPTOR_TK
DASATINIB,drug_sample,PUTATIVE_TARGET,EPHA2,EPH_RECEPTOR_SIGNALING
DASATINIB,drug_sample,PUTATIVE_TARGET,Ephrins,EPH_RECEPTOR_SIGNALING
DASATINIB,drug_sample,PUTATIVE_TARGET,FGR,SRC_LCK_NONRECEPTOR_TK
DASATINIB,drug_sample,PUTATIVE_TARGET,FRK,SRC_LCK_NONRECEPTOR_TK
DASATINIB,drug_sample,PUTATIVE_TARGET,FYN,SRC_LCK_NONRECEPTOR_TK
DASATINIB,drug_sample,PUTATIVE_TARGET,HCK,SRC_LCK_NONRECEPTOR_TK
DASATINIB,drug_sample,PUTATIVE_TARGET,KIT,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
DASATINIB,drug_sample,PUTATIVE_TARGET,LCK,SRC_LCK_NONRECEPTOR_TK
DASATINIB,drug_sample,PUTATIVE_TARGET,LYN,SRC_LCK_NONRECEPTOR_TK
DASATINIB,drug_sample,PUTATIVE_TARGET,PDGFR,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
DASATINIB,drug_sample,PUTATIVE_TARGET,SRC,SRC_LCK_NONRECEPTOR_TK
DASATINIB,drug_sample,PUTATIVE_TARGET,YES1,SRC_LCK_NONRECEPTOR_TK
DASATINIB,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
CGP-60474,drug_sample,PATHWAY_NAME,Cell cycle,CELL_CYCLE_MITOSIS_KINASE
CGP-082996,drug_sample,PATHWAY_NAME,Cell cycle,CELL_CYCLE_MITOSIS_KINASE
A-770041,drug_sample,PUTATIVE_TARGET,FYN,SRC_LCK_NONRECEPTOR_TK
A-770041,drug_sample,PUTATIVE_TARGET,LCK,SRC_LCK_NONRECEPTOR_TK
WH-4-023,drug_sample,PUTATIVE_TARGET,LCK,SRC_LCK_NONRECEPTOR_TK
WH-4-023,drug_sample,PUTATIVE_TARGET,SRC,SRC_LCK_NONRECEPTOR_TK
BI-2536,drug_sample,PUTATIVE_TARGET,BRD4,CHROMATIN_EPIGENETIC
BI-2536,drug_sample,PATHWAY_NAME,Cell cycle,CELL_CYCLE_MITOSIS_KINASE
PYRIMETHAMINE,drug_sample,PUTATIVE_TARGET,SLC47A1,ION_CHANNEL_TRANSPORTER
JW-7-52-1,drug_sample,PUTATIVE_TARGET,MTOR,PI3K_AKT_MTOR
JW-7-52-1,drug_sample,PATHWAY_NAME,MTOR signaling,PI3K_AKT_MTOR
JW-7-52-1,drug_sample,PATHWAY_NAME,PI3K,PI3K_AKT_MTOR
A-443654,drug_sample,PUTATIVE_TARGET,AKT1,PI3K_AKT_MTOR
A-443654,drug_sample,PUTATIVE_TARGET,AKT2,PI3K_AKT_MTOR
A-443654,drug_sample,PUTATIVE_TARGET,AKT3,PI3K_AKT_MTOR
A-443654,drug_sample,PATHWAY_NAME,MTOR signaling,PI3K_AKT_MTOR
A-443654,drug_sample,PATHWAY_NAME,PI3K,PI3K_AKT_MTOR
GW843682X,drug_sample,PATHWAY_NAME,Cell cycle,CELL_CYCLE_MITOSIS_KINASE
ENTINOSTAT,drug_sample,PATHWAY_NAME,Chromatin histone acetylation,CHROMATIN_EPIGENETIC
PARTHENOLIDE,drug_sample,PATHWAY_NAME,Chromatin histone acetylation,CHROMATIN_EPIGENETIC
TGX221,drug_sample,PATHWAY_NAME,MTOR signaling,PI3K_AKT_MTOR
TGX221,drug_sample,PATHWAY_NAME,PI3K,PI3K_AKT_MTOR
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,Proteasome,PROTEOSTASIS
BORTEZOMIB,drug_sample,PATHWAY_NAME,Protein stability and degradation,PROTEOSTASIS
XMD8-85,drug_sample,PUTATIVE_TARGET,BET,CHROMATIN_EPIGENETIC
XMD8-85,drug_sample,PUTATIVE_TARGET,ERK5,MAP2K_MEK_ERK_RAF_CASCADE
SELICICLIB,drug_sample,PATHWAY_NAME,Cell cycle,CELL_CYCLE_MITOSIS_KINASE
LAPATINIB,drug_sample,PUTATIVE_TARGET,EGFR,ERBB_EGFR_FAMILY_RTK
LAPATINIB,drug_sample,PUTATIVE_TARGET,ERBB2,ERBB_EGFR_FAMILY_RTK
LAPATINIB,drug_sample,PATHWAY_NAME,EGFR signaling,ERBB_EGFR_FAMILY_RTK
LAPATINIB,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
DOXORUBICIN,drug_sample,PATHWAY_NAME,DNA replication,DNA_REPLICATION_GENOME_INTEGRITY
ETOPOSIDE,drug_sample,PATHWAY_NAME,DNA replication,DNA_REPLICATION_GENOME_INTEGRITY
GEMCITABINE,drug_sample,PATHWAY_NAME,DNA replication,DNA_REPLICATION_GENOME_INTEGRITY
MITOMYCIN-C,drug_sample,PATHWAY_NAME,DNA replication,DNA_REPLICATION_GENOME_INTEGRITY
VINORELBINE,drug_sample,PATHWAY_NAME,Mitosis,CELL_CYCLE_MITOSIS_KINASE
CP466722,drug_sample,PUTATIVE_TARGET,ATM,PARP_DNA_REPAIR_CHECKPOINT
CP466722,drug_sample,PATHWAY_NAME,Genome integrity,DNA_REPLICATION_GENOME_INTEGRITY
MIDOSTAURIN,drug_sample,PUTATIVE_TARGET,FLT1,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
MIDOSTAURIN,drug_sample,PUTATIVE_TARGET,FLT3,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
MIDOSTAURIN,drug_sample,PUTATIVE_TARGET,c-FGR,SRC_LCK_NONRECEPTOR_TK
PONATINIB,drug_sample,PUTATIVE_TARGET,FLT3,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
PONATINIB,drug_sample,PUTATIVE_TARGET,KIT,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
PONATINIB,drug_sample,PUTATIVE_TARGET,LCK,SRC_LCK_NONRECEPTOR_TK
PONATINIB,drug_sample,PUTATIVE_TARGET,LYN,SRC_LCK_NONRECEPTOR_TK
PONATINIB,drug_sample,PUTATIVE_TARGET,RET,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
PONATINIB,drug_sample,PUTATIVE_TARGET,SRC,SRC_LCK_NONRECEPTOR_TK
AZD6482,drug_sample,PUTATIVE_TARGET,PIK3CA,PI3K_AKT_MTOR
AZD6482,drug_sample,PUTATIVE_TARGET,PIK3CB,PI3K_AKT_MTOR
AZD6482,drug_sample,PUTATIVE_TARGET,PIK3CD,PI3K_AKT_MTOR
AZD6482,drug_sample,PUTATIVE_TARGET,PIK3CG,PI3K_AKT_MTOR
AZD6482,drug_sample,PATHWAY_NAME,MTOR signaling,PI3K_AKT_MTOR
AZD6482,drug_sample,PATHWAY_NAME,PI3K,PI3K_AKT_MTOR
JNK-9L,drug_sample,PATHWAY_NAME,JNK and p38 signaling,JNK_P38_STRESS_MAPK
HG6-64-1,drug_sample,PUTATIVE_TARGET,BRAF,MAP2K_MEK_ERK_RAF_CASCADE
HG6-64-1,drug_sample,PATHWAY_NAME,ERK MAPK signaling,MAP2K_MEK_ERK_RAF_CASCADE
JQ1,drug_sample,PUTATIVE_TARGET,BRD2,CHROMATIN_EPIGENETIC
JQ1,drug_sample,PUTATIVE_TARGET,BRD3,CHROMATIN_EPIGENETIC
JQ1,drug_sample,PUTATIVE_TARGET,BRD4,CHROMATIN_EPIGENETIC
JQ1,drug_sample,PATHWAY_NAME,Chromatin other,CHROMATIN_EPIGENETIC
JQ12,drug_sample,PATHWAY_NAME,Chromatin histone acetylation,CHROMATIN_EPIGENETIC
OSU-03012,drug_sample,PUTATIVE_TARGET,PDK1 (PDPK1),PI3K_AKT_MTOR
AKT INHIBITOR VIII,drug_sample,PUTATIVE_TARGET,AKT1,PI3K_AKT_MTOR
AKT INHIBITOR VIII,drug_sample,PUTATIVE_TARGET,AKT2,PI3K_AKT_MTOR
AKT INHIBITOR VIII,drug_sample,PUTATIVE_TARGET,AKT3,PI3K_AKT_MTOR
AKT INHIBITOR VIII,drug_sample,PATHWAY_NAME,MTOR signaling,PI3K_AKT_MTOR
AKT INHIBITOR VIII,drug_sample,PATHWAY_NAME,PI3K,PI3K_AKT_MTOR
EMBELIN,drug_sample,PATHWAY_NAME,Apoptosis regulation,APOPTOSIS_BCL2
PAC-1,drug_sample,PATHWAY_NAME,Apoptosis regulation,APOPTOSIS_BCL2
BAY-61-3606,drug_sample,PUTATIVE_TARGET,SYK,SRC_LCK_NONRECEPTOR_TK
OBATOCLAX MESYLATE,drug_sample,PUTATIVE_TARGET,BCL-XL,APOPTOSIS_BCL2
OBATOCLAX MESYLATE,drug_sample,PUTATIVE_TARGET,BCL2,APOPTOSIS_BCL2
OBATOCLAX MESYLATE,drug_sample,PUTATIVE_TARGET,MCL1,APOPTOSIS_BCL2
OBATOCLAX MESYLATE,drug_sample,PATHWAY_NAME,Apoptosis regulation,APOPTOSIS_BCL2
BMS-754807,drug_sample,PUTATIVE_TARGET,AKT1,PI3K_AKT_MTOR
BMS-754807,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
BLEOMYCIN,drug_sample,PATHWAY_NAME,DNA replication,DNA_REPLICATION_GENOME_INTEGRITY
GW-2580,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
LUMINESPIB,drug_sample,PUTATIVE_TARGET,HSP90,PROTEOSTASIS
LUMINESPIB,drug_sample,PATHWAY_NAME,Protein stability and degradation,PROTEOSTASIS
PAZOPANIB,drug_sample,PUTATIVE_TARGET,FLT1,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
PAZOPANIB,drug_sample,PUTATIVE_TARGET,FLT4,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
PAZOPANIB,drug_sample,PUTATIVE_TARGET,KIT,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
PAZOPANIB,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
DACINOSTAT,drug_sample,PATHWAY_NAME,Chromatin histone acetylation,CHROMATIN_EPIGENETIC
EPOTHILONE B,drug_sample,PATHWAY_NAME,Mitosis,CELL_CYCLE_MITOSIS_KINASE
GSK1904529A,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
AS601245,drug_sample,PATHWAY_NAME,JNK and p38 signaling,JNK_P38_STRESS_MAPK
ISPINESIB MESYLATE,drug_sample,PATHWAY_NAME,Mitosis,CELL_CYCLE_MITOSIS_KINASE
AT-7519,drug_sample,PATHWAY_NAME,Cell cycle,CELL_CYCLE_MITOSIS_KINASE
TAK-715,drug_sample,PUTATIVE_TARGET,MAPK14,JNK_P38_STRESS_MAPK
TAK-715,drug_sample,PATHWAY_NAME,JNK and p38 signaling,JNK_P38_STRESS_MAPK
BX-912,drug_sample,PUTATIVE_TARGET,CHEK1,PARP_DNA_REPAIR_CHECKPOINT
BX-912,drug_sample,PUTATIVE_TARGET,PDK1 (PDPK1),PI3K_AKT_MTOR
BX-912,drug_sample,PUTATIVE_TARGET,PDPK1,PI3K_AKT_MTOR
ZSTK474,drug_sample,PUTATIVE_TARGET,PI3K (class 1),PI3K_AKT_MTOR
ZSTK474,drug_sample,PATHWAY_NAME,MTOR signaling,PI3K_AKT_MTOR
ZSTK474,drug_sample,PATHWAY_NAME,PI3K,PI3K_AKT_MTOR
AS605240,drug_sample,PATHWAY_NAME,MTOR signaling,PI3K_AKT_MTOR
AS605240,drug_sample,PATHWAY_NAME,PI3K,PI3K_AKT_MTOR
GENENTECH CPD 10,drug_sample,PATHWAY_NAME,Mitosis,CELL_CYCLE_MITOSIS_KINASE
GSK1070916,drug_sample,PATHWAY_NAME,Mitosis,CELL_CYCLE_MITOSIS_KINASE
IC-87114,drug_sample,PATHWAY_NAME,MTOR signaling,PI3K_AKT_MTOR
IC-87114,drug_sample,PATHWAY_NAME,PI3K,PI3K_AKT_MTOR
IDELALISIB,drug_sample,PUTATIVE_TARGET,PIK3CA,PI3K_AKT_MTOR
IDELALISIB,drug_sample,PUTATIVE_TARGET,PIK3CB,PI3K_AKT_MTOR
IDELALISIB,drug_sample,PUTATIVE_TARGET,PIK3CD,PI3K_AKT_MTOR
IDELALISIB,drug_sample,PUTATIVE_TARGET,PIK3CG,PI3K_AKT_MTOR
IDELALISIB,drug_sample,PATHWAY_NAME,MTOR signaling,PI3K_AKT_MTOR
IDELALISIB,drug_sample,PATHWAY_NAME,PI3K,PI3K_AKT_MTOR
UNC0638,drug_sample,PATHWAY_NAME,Chromatin histone methylation,CHROMATIN_EPIGENETIC
CABOZANTINIB,drug_sample,PUTATIVE_TARGET,AXL,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
CABOZANTINIB,drug_sample,PUTATIVE_TARGET,FLT1,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
CABOZANTINIB,drug_sample,PUTATIVE_TARGET,FLT3,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
CABOZANTINIB,drug_sample,PUTATIVE_TARGET,FLT4,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
CABOZANTINIB,drug_sample,PUTATIVE_TARGET,KIT,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
CABOZANTINIB,drug_sample,PUTATIVE_TARGET,MET,MET_HGF_RTK
CABOZANTINIB,drug_sample,PUTATIVE_TARGET,RET,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
CABOZANTINIB,drug_sample,PUTATIVE_TARGET,VEGFR,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
CABOZANTINIB,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
WZ3105,drug_sample,PUTATIVE_TARGET,FLT3,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
WZ3105,drug_sample,PUTATIVE_TARGET,SRC,SRC_LCK_NONRECEPTOR_TK
XMD14-99,drug_sample,PUTATIVE_TARGET,ALK,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
QUIZARTINIB,drug_sample,PUTATIVE_TARGET,FLT3,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
QUIZARTINIB,drug_sample,PUTATIVE_TARGET,KIT,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
QUIZARTINIB,drug_sample,PUTATIVE_TARGET,RET,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
QUIZARTINIB,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
CP724714,drug_sample,PUTATIVE_TARGET,ERBB2,ERBB_EGFR_FAMILY_RTK
CP724714,drug_sample,PATHWAY_NAME,EGFR signaling,ERBB_EGFR_FAMILY_RTK
JW-7-24-1,drug_sample,PUTATIVE_TARGET,LCK,SRC_LCK_NONRECEPTOR_TK
NPK76-II-72-1,drug_sample,PATHWAY_NAME,Cell cycle,CELL_CYCLE_MITOSIS_KINASE
VX-11E,drug_sample,PUTATIVE_TARGET,ERK2,MAP2K_MEK_ERK_RAF_CASCADE
VX-11E,drug_sample,PATHWAY_NAME,ERK MAPK signaling,MAP2K_MEK_ERK_RAF_CASCADE
FR-180204,drug_sample,PUTATIVE_TARGET,ERK1,MAP2K_MEK_ERK_RAF_CASCADE
FR-180204,drug_sample,PUTATIVE_TARGET,ERK2,MAP2K_MEK_ERK_RAF_CASCADE
FR-180204,drug_sample,PATHWAY_NAME,ERK MAPK signaling,MAP2K_MEK_ERK_RAF_CASCADE
ACY-1215,drug_sample,PATHWAY_NAME,Chromatin histone acetylation,CHROMATIN_EPIGENETIC
TUBASTATIN A,drug_sample,PATHWAY_NAME,Chromatin histone acetylation,CHROMATIN_EPIGENETIC
SEPANTRONIUM BROMIDE,drug_sample,PATHWAY_NAME,Apoptosis regulation,APOPTOSIS_BCL2
VNLG/124,drug_sample,PUTATIVE_TARGET,HDAC,CHROMATIN_EPIGENETIC
VNLG/124,drug_sample,PATHWAY_NAME,Chromatin histone acetylation,CHROMATIN_EPIGENETIC
AR-42,drug_sample,PATHWAY_NAME,Chromatin histone acetylation,CHROMATIN_EPIGENETIC
CUDC-101,drug_sample,PUTATIVE_TARGET,EGFR,ERBB_EGFR_FAMILY_RTK
CUDC-101,drug_sample,PUTATIVE_TARGET,ERBB2,ERBB_EGFR_FAMILY_RTK
BELINOSTAT,drug_sample,PATHWAY_NAME,Chromatin histone acetylation,CHROMATIN_EPIGENETIC
I-BET-762,drug_sample,PUTATIVE_TARGET,BRD2,CHROMATIN_EPIGENETIC
I-BET-762,drug_sample,PUTATIVE_TARGET,BRD3,CHROMATIN_EPIGENETIC
I-BET-762,drug_sample,PUTATIVE_TARGET,BRD4,CHROMATIN_EPIGENETIC
I-BET-762,drug_sample,PATHWAY_NAME,Chromatin other,CHROMATIN_EPIGENETIC
CAY10603,drug_sample,PATHWAY_NAME,Chromatin histone acetylation,CHROMATIN_EPIGENETIC
LINIFANIB,drug_sample,PUTATIVE_TARGET,FLT1,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
LINIFANIB,drug_sample,PUTATIVE_TARGET,FLT3,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
LINIFANIB,drug_sample,PUTATIVE_TARGET,FLT4,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
LINIFANIB,drug_sample,PUTATIVE_TARGET,KIT,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
LINIFANIB,drug_sample,PUTATIVE_TARGET,RET,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
LINIFANIB,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
BIX02189,drug_sample,PUTATIVE_TARGET,ERK5,MAP2K_MEK_ERK_RAF_CASCADE
BIX02189,drug_sample,PUTATIVE_TARGET,MEK5,MAP2K_MEK_ERK_RAF_CASCADE
BIX02189,drug_sample,PATHWAY_NAME,ERK MAPK signaling,MAP2K_MEK_ERK_RAF_CASCADE
ALECTINIB,drug_sample,PUTATIVE_TARGET,ALK,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
ALECTINIB,drug_sample,PUTATIVE_TARGET,MET,MET_HGF_RTK
ALECTINIB,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
PELITINIB,drug_sample,PUTATIVE_TARGET,EGFR,ERBB_EGFR_FAMILY_RTK
PELITINIB,drug_sample,PATHWAY_NAME,EGFR signaling,ERBB_EGFR_FAMILY_RTK
OMIPALISIB,drug_sample,PUTATIVE_TARGET,PI3K (class 1),PI3K_AKT_MTOR
OMIPALISIB,drug_sample,PATHWAY_NAME,MTOR signaling,PI3K_AKT_MTOR
OMIPALISIB,drug_sample,PATHWAY_NAME,PI3K,PI3K_AKT_MTOR
JNJ38877605,drug_sample,PUTATIVE_TARGET,MET,MET_HGF_RTK
JNJ38877605,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
SU11274,drug_sample,PUTATIVE_TARGET,MET,MET_HGF_RTK
SU11274,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
KIN001-236,drug_sample,PATHWAY_NAME,Chromatin histone acetylation,CHROMATIN_EPIGENETIC
KIN001-260,drug_sample,PUTATIVE_TARGET,CDC7,CELL_CYCLE_MITOSIS_KINASE
KIN001-260,drug_sample,PATHWAY_NAME,DNA replication,DNA_REPLICATION_GENOME_INTEGRITY
KIN001-266,drug_sample,PUTATIVE_TARGET,CDC7,CELL_CYCLE_MITOSIS_KINASE
KIN001-266,drug_sample,PATHWAY_NAME,DNA replication,DNA_REPLICATION_GENOME_INTEGRITY
MASITINIB,drug_sample,PUTATIVE_TARGET,KIT,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
MASITINIB,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
AMUVATINIB,drug_sample,PUTATIVE_TARGET,FLT3,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
AMUVATINIB,drug_sample,PUTATIVE_TARGET,KIT,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
AMUVATINIB,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
MPS-1-IN-1,drug_sample,PATHWAY_NAME,Mitosis,CELL_CYCLE_MITOSIS_KINASE
NVP-BHG712,drug_sample,PUTATIVE_TARGET,EPHB4,EPH_RECEPTOR_SIGNALING
NVP-BHG712,drug_sample,PUTATIVE_TARGET,RAF,MAP2K_MEK_ERK_RAF_CASCADE
NVP-BHG712,drug_sample,PUTATIVE_TARGET,SRC,SRC_LCK_NONRECEPTOR_TK
OSI-930,drug_sample,PUTATIVE_TARGET,KIT,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
OSI-930,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
OSI-027,drug_sample,PUTATIVE_TARGET,MTOR,PI3K_AKT_MTOR
OSI-027,drug_sample,PATHWAY_NAME,MTOR signaling,PI3K_AKT_MTOR
OSI-027,drug_sample,PATHWAY_NAME,PI3K,PI3K_AKT_MTOR
PHA-793887,drug_sample,PATHWAY_NAME,Cell cycle,CELL_CYCLE_MITOSIS_KINASE
PI-103,drug_sample,PUTATIVE_TARGET,MTOR,PI3K_AKT_MTOR
PI-103,drug_sample,PUTATIVE_TARGET,PIK3CA,PI3K_AKT_MTOR
PI-103,drug_sample,PUTATIVE_TARGET,PIK3CB,PI3K_AKT_MTOR
PI-103,drug_sample,PUTATIVE_TARGET,PIK3CD,PI3K_AKT_MTOR
PI-103,drug_sample,PUTATIVE_TARGET,PIK3CG,PI3K_AKT_MTOR
PIK-93,drug_sample,PATHWAY_NAME,MTOR signaling,PI3K_AKT_MTOR
PIK-93,drug_sample,PATHWAY_NAME,PI3K,PI3K_AKT_MTOR
SB52334,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
FORETINIB,drug_sample,PUTATIVE_TARGET,EGFR,ERBB_EGFR_FAMILY_RTK
FORETINIB,drug_sample,PUTATIVE_TARGET,FLT1,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
FORETINIB,drug_sample,PUTATIVE_TARGET,FLT4,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
FORETINIB,drug_sample,PUTATIVE_TARGET,MET,MET_HGF_RTK
FORETINIB,drug_sample,PUTATIVE_TARGET,PDGFR,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
FORETINIB,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
YM201636,drug_sample,PATHWAY_NAME,MTOR signaling,PI3K_AKT_MTOR
YM201636,drug_sample,PATHWAY_NAME,PI3K,PI3K_AKT_MTOR
TIVOZANIB,drug_sample,PUTATIVE_TARGET,FLT1,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
TIVOZANIB,drug_sample,PUTATIVE_TARGET,FLT4,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
