feature,raw_token,n_improve_with_token,n_worsen_with_token,n_drugs_supporting_token,support_rate_total,support_rate_improve,support_rate_worsen,odds_ratio,log2_odds_ratio,effect_direction,pvalue,fdr_bh,minus_log10_p
rawtok_FERROCHELATASE_MITOCHONDRIAL,"FERROCHELATASE, MITOCHONDRIAL",2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_INTERLEUKIN_1_RECEPTOR_ASSOCIATED_KINASE_3,INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 3,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_LIM_DOMAIN_KINASE_1,LIM DOMAIN KINASE 1,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_3,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 3,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_MYOSIN_LIGHT_CHAIN_KINASE_2_SKELETAL_CARDIAC_MUSCLE,"MYOSIN LIGHT CHAIN KINASE 2, SKELETAL/CARDIAC MUSCLE",2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_NON_RECEPTOR_TYROSINE_PROTEIN_KINASE_TYK2,NON-RECEPTOR TYROSINE-PROTEIN KINASE TYK2,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_NUAK_FAMILY_SNF1_LIKE_KINASE_2,NUAK FAMILY SNF1-LIKE KINASE 2,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_PARP1,PARP1,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_PARP2,PARP2,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_PARP_1,PARP 1,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_PARP_1_2_AND_3_INHIBITOR,"PARP 1, 2 AND 3 INHIBITOR",2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_PHOSPHATIDYLINOSITOL_3_KINASE_CATALYTIC_SUBUNIT_TYPE_3,PHOSPHATIDYLINOSITOL 3-KINASE CATALYTIC SUBUNIT TYPE 3,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_C2_DOMAIN_CONTAINING_SUBUNIT_A,PHOSPHATIDYLINOSITOL 4-PHOSPHATE 3-KINASE C2 DOMAIN-CONTAINING SUBUNIT ALPHA,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_C2_DOMAIN_CONTAINING_SUBUNIT_B,PHOSPHATIDYLINOSITOL 4-PHOSPHATE 3-KINASE C2 DOMAIN-CONTAINING SUBUNIT BETA,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_PHOSPHORYLASE_B_KINASE_GAMMA_CATALYTIC_CHAIN_LIVER_TESTIS_ISOFORM,"PHOSPHORYLASE B KINASE GAMMA CATALYTIC CHAIN, LIVER/TESTIS ISOFORM",2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_PHOSPHORYLASE_B_KINASE_GAMMA_CATALYTIC_CHAIN_SKELETAL_MUSCLE_HEART_ISOFO,"PHOSPHORYLASE B KINASE GAMMA CATALYTIC CHAIN, SKELETAL MUSCLE/HEART ISOFORM",2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_PI3K_CLASS_1,PI3K (CLASS 1),2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_PI3_KINASE_CLASS_I_INHIBITOR,PI3-KINASE CLASS I INHIBITOR,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_POLY_ADP_RIBOSE_POLYMERASE_1,POLY [ADP-RIBOSE] POLYMERASE 1,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_POLY_ADP_RIBOSE_POLYMERASE_2,POLY [ADP-RIBOSE] POLYMERASE 2,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_POLY_ADP_RIBOSE_POLYMERASE_TANKYRASE_1,POLY [ADP-RIBOSE] POLYMERASE TANKYRASE-1,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_POLY_ADP_RIBOSE_POLYMERASE_TANKYRASE_2,POLY [ADP-RIBOSE] POLYMERASE TANKYRASE-2,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_PROGESTERONE_RECEPTOR,PROGESTERONE RECEPTOR,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP10,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP10,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP12,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP12,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP14,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP14,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP3,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP3,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP4,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP4,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_3,RECEPTOR TYROSINE-PROTEIN KINASE ERBB-3,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_4,RECEPTOR TYROSINE-PROTEIN KINASE ERBB-4,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_RIBOSOMAL_PROTEIN_S6_KINASE_ALPHA_6,RIBOSOMAL PROTEIN S6 KINASE ALPHA-6,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_RTK_SIGNALING,RTK SIGNALING,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_SERINE_THREONINE_PROTEIN_KINASE_17A,SERINE/THREONINE-PROTEIN KINASE 17A,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_SERINE_THREONINE_PROTEIN_KINASE_4,SERINE/THREONINE-PROTEIN KINASE 4,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_SERINE_THREONINE_PROTEIN_KINASE_PIM_1,SERINE/THREONINE-PROTEIN KINASE PIM-1,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_SERINE_THREONINE_PROTEIN_KINASE_PIM_3,SERINE/THREONINE-PROTEIN KINASE PIM-3,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_SERINE_THREONINE_PROTEIN_KINASE_PLK4,SERINE/THREONINE-PROTEIN KINASE PLK4,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_SERINE_THREONINE_PROTEIN_KINASE_SBK1,SERINE/THREONINE-PROTEIN KINASE SBK1,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_BROMODOMAIN_CONTAINING_PROTEIN_4,BROMODOMAIN-CONTAINING PROTEIN 4,1,2,3,0.08333333333333333,0.05,0.125,0.3684210526315789,-1.1643868179008823,enriched_in_worsen,0.5742296918767505,1.0,0.24091435505643902
rawtok_MU_TYPE_OPIOID_RECEPTOR,MU-TYPE OPIOID RECEPTOR,1,2,3,0.08333333333333333,0.05,0.125,0.3684210526315789,-1.1643868179008823,enriched_in_worsen,0.5742296918767505,1.0,0.24091435505643902
rawtok_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_ALPHA,PLATELET-DERIVED GROWTH FACTOR RECEPTOR ALPHA,1,2,3,0.08333333333333333,0.05,0.125,0.3684210526315789,-1.1643868179008823,enriched_in_worsen,0.5742296918767505,1.0,0.24091435505643902
rawtok_TYROSINE_PROTEIN_KINASE_FYN,TYROSINE-PROTEIN KINASE FYN,1,2,3,0.08333333333333333,0.05,0.125,0.3684210526315789,-1.1643868179008823,enriched_in_worsen,0.5742296918767505,1.0,0.24091435505643902
rawtok_ADENOSINE_RECEPTOR_A3,ADENOSINE RECEPTOR A3,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883
rawtok_CYCLIN_DEPENDENT_KINASE_16,CYCLIN-DEPENDENT KINASE 16,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883
rawtok_CYCLIN_DEPENDENT_KINASE_7,CYCLIN-DEPENDENT KINASE 7,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_1,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883
rawtok_DUAL_SPECIFICITY_TYROSINE_PHOSPHORYLATION_REGULATED_KINASE_1B,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE 1B,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883
rawtok_LEUCINE_RICH_REPEAT_SERINE_THREONINE_PROTEIN_KINASE_2,LEUCINE-RICH REPEAT SERINE/THREONINE-PROTEIN KINASE 2,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883
rawtok_MUSCARINIC_ACETYLCHOLINE_RECEPTOR_M2,MUSCARINIC ACETYLCHOLINE RECEPTOR M2,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883
rawtok_RECEPTOR_INTERACTING_SERINE_THREONINE_PROTEIN_KINASE_2,RECEPTOR-INTERACTING SERINE/THREONINE-PROTEIN KINASE 2,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883
rawtok_SERINE_THREONINE_PROTEIN_KINASE_10,SERINE/THREONINE-PROTEIN KINASE 10,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883
rawtok_SERINE_THREONINE_PROTEIN_KINASE_B_RAF,SERINE/THREONINE-PROTEIN KINASE B-RAF,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883
rawtok_STE20_LIKE_SERINE_THREONINE_PROTEIN_KINASE,STE20-LIKE SERINE/THREONINE-PROTEIN KINASE,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883
rawtok_TYROSINE_PROTEIN_KINASE_ABL1,TYROSINE-PROTEIN KINASE ABL1,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883
rawtok_TYROSINE_PROTEIN_KINASE_BLK,TYROSINE-PROTEIN KINASE BLK,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883
rawtok_RECEPTOR_TYPE_TYROSINE_PROTEIN_KINASE_FLT3,RECEPTOR-TYPE TYROSINE-PROTEIN KINASE FLT3,4,2,6,0.16666666666666666,0.2,0.125,1.75,0.6615837823240687,enriched_in_improve,0.6722442642746249,1.0,0.17247289457808127
rawtok_SODIUM_DEPENDENT_DOPAMINE_TRANSPORTER,SODIUM-DEPENDENT DOPAMINE TRANSPORTER,4,2,6,0.16666666666666666,0.2,0.125,1.75,0.6615837823240687,enriched_in_improve,0.6722442642746249,1.0,0.17247289457808127
rawtok_EPIDERMAL_GROWTH_FACTOR_RECEPTOR,EPIDERMAL GROWTH FACTOR RECEPTOR,5,4,9,0.25,0.25,0.25,1.0,-0.020833503417165656,enriched_in_worsen,1.0,1.0,-0.0
rawtok_CYTOCHROME_P450_3A4,CYTOCHROME P450 3A4,3,3,6,0.16666666666666666,0.15,0.1875,0.7647058823529411,-0.37439551478149785,enriched_in_worsen,1.0,1.0,-0.0
rawtok_PROTO_ONCOGENE_TYROSINE_PROTEIN_KINASE_RECEPTOR_RET,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE RECEPTOR RET,3,3,6,0.16666666666666666,0.15,0.1875,0.7647058823529411,-0.37439551478149785,enriched_in_worsen,1.0,1.0,-0.0
rawtok_HISTONE_DEACETYLASE_6,HISTONE DEACETYLASE 6,3,2,5,0.1388888888888889,0.15,0.125,1.2352941176470589,0.21412480535284734,enriched_in_improve,1.0,1.0,-0.0
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_9,MITOGEN-ACTIVATED PROTEIN KINASE 9,3,2,5,0.1388888888888889,0.15,0.125,1.2352941176470589,0.21412480535284734,enriched_in_improve,1.0,1.0,-0.0
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_KINASE_5,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 5,3,2,5,0.1388888888888889,0.15,0.125,1.2352941176470589,0.21412480535284734,enriched_in_improve,1.0,1.0,-0.0
rawtok_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_2,VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR 2,3,2,5,0.1388888888888889,0.15,0.125,1.2352941176470589,0.21412480535284734,enriched_in_improve,1.0,1.0,-0.0
rawtok_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_4D,"3',5'-CYCLIC-AMP PHOSPHODIESTERASE 4D",2,2,4,0.1111111111111111,0.1,0.125,0.7777777777777778,-0.3514723705013777,enriched_in_worsen,1.0,1.0,-0.0
rawtok_DNA_REPLICATION,DNA REPLICATION,2,2,4,0.1111111111111111,0.1,0.125,0.7777777777777778,-0.3514723705013777,enriched_in_worsen,1.0,1.0,-0.0
rawtok_DUAL_SPECIFICITY_PROTEIN_KINASE_TTK,DUAL SPECIFICITY PROTEIN KINASE TTK,2,2,4,0.1111111111111111,0.1,0.125,0.7777777777777778,-0.3514723705013777,enriched_in_worsen,1.0,1.0,-0.0
rawtok_GENOME_INTEGRITY,GENOME INTEGRITY,2,2,4,0.1111111111111111,0.1,0.125,0.7777777777777778,-0.3514723705013777,enriched_in_worsen,1.0,1.0,-0.0
rawtok_LEUKOCYTE_TYROSINE_KINASE_RECEPTOR,LEUKOCYTE TYROSINE KINASE RECEPTOR,2,2,4,0.1111111111111111,0.1,0.125,0.7777777777777778,-0.3514723705013777,enriched_in_worsen,1.0,1.0,-0.0
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_8,MITOGEN-ACTIVATED PROTEIN KINASE 8,2,2,4,0.1111111111111111,0.1,0.125,0.7777777777777778,-0.3514723705013777,enriched_in_worsen,1.0,1.0,-0.0
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_KINASE_4,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 4,2,2,4,0.1111111111111111,0.1,0.125,0.7777777777777778,-0.3514723705013777,enriched_in_worsen,1.0,1.0,-0.0
rawtok_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_3_KINASE_CATALYTIC_SUBUNIT_ALPHA_I,"PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE 3-KINASE CATALYTIC SUBUNIT ALPHA ISOFORM",2,2,4,0.1111111111111111,0.1,0.125,0.7777777777777778,-0.3514723705013777,enriched_in_worsen,1.0,1.0,-0.0
