feature,raw_token,pvalue,fdr_bh,odds_ratio,log2_odds_ratio,effect_direction,n_drugs_supporting_token,threshold
rawtok_VOLTAGE_GATED_INWARDLY_RECTIFYING_POTASSIUM_CHANNEL_KCNH2,VOLTAGE-GATED INWARDLY RECTIFYING POTASSIUM CHANNEL KCNH2,0.24671897457647088,1.0,3.473684210526316,1.584962500721156,enriched_in_improve,8,0.005
rawtok_AURORA_KINASE_A,AURORA KINASE A,0.34867564046895344,1.0,0.2916666666666667,-1.4108375107495583,enriched_in_worsen,4,0.005
rawtok_DISCOIDIN_DOMAIN_CONTAINING_RECEPTOR_2,DISCOIDIN DOMAIN-CONTAINING RECEPTOR 2,0.34867564046895344,1.0,0.2916666666666667,-1.4108375107495583,enriched_in_worsen,4,0.005
rawtok_DUAL_SPECIFICITY_PROTEIN_KINASE_CLK1,DUAL SPECIFICITY PROTEIN KINASE CLK1,0.34867564046895344,1.0,0.2916666666666667,-1.4108375107495583,enriched_in_worsen,4,0.005
rawtok_DUAL_SPECIFICITY_PROTEIN_KINASE_CLK2,DUAL SPECIFICITY PROTEIN KINASE CLK2,0.34867564046895344,1.0,0.2916666666666667,-1.4108375107495583,enriched_in_worsen,4,0.005
rawtok_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_4,FIBROBLAST GROWTH FACTOR RECEPTOR 4,0.34867564046895344,1.0,0.2916666666666667,-1.4108375107495583,enriched_in_worsen,4,0.005
rawtok_SERINE_THREONINE_PROTEIN_KINASE_NEK2,SERINE/THREONINE-PROTEIN KINASE NEK2,0.34867564046895344,1.0,0.2916666666666667,-1.4108375107495583,enriched_in_worsen,4,0.005
rawtok_BILE_SALT_EXPORT_PUMP,BILE SALT EXPORT PUMP,0.3486756404689536,1.0,4.380952380952381,1.7132865976966956,enriched_in_improve,5,0.005
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_19,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 19,0.3486756404689536,1.0,4.380952380952381,1.7132865976966956,enriched_in_improve,5,0.005
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_5,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 5,0.41742654508611954,1.0,2.75,1.271804615461526,enriched_in_improve,7,0.005
rawtok_SERINE_THREONINE_PROTEIN_KINASE_10,SERINE/THREONINE-PROTEIN KINASE 10,0.41742654508611954,1.0,2.75,1.271804615461526,enriched_in_improve,7,0.005
rawtok_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_1,FIBROBLAST GROWTH FACTOR RECEPTOR 1,0.4174265450861196,1.0,0.43478260869565216,-1.0450337536145038,enriched_in_worsen,6,0.005
rawtok_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_ALPHA,PLATELET-DERIVED GROWTH FACTOR RECEPTOR ALPHA,0.4174265450861196,1.0,0.43478260869565216,-1.0450337536145038,enriched_in_worsen,6,0.005
rawtok_GENOME_INTEGRITY,GENOME INTEGRITY,0.46349049268396136,1.0,0.5181818181818182,-0.8585275740471195,enriched_in_worsen,8,0.005
rawtok_PROTO_ONCOGENE_TYROSINE_PROTEIN_KINASE_SRC,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE SRC,0.46349049268396136,1.0,0.5181818181818182,-0.8585275740471195,enriched_in_worsen,8,0.005
rawtok_ALPHA_2B_ADRENERGIC_RECEPTOR,ALPHA-2B ADRENERGIC RECEPTOR,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_APOPTOSIS_REGULATOR_BCL_2,APOPTOSIS REGULATOR BCL-2,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_BETA_1_ADRENERGIC_RECEPTOR,BETA-1 ADRENERGIC RECEPTOR,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_BREAKPOINT_CLUSTER_REGION_PROTEIN,BREAKPOINT CLUSTER REGION PROTEIN,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_CASEIN_KINASE_I_ISOFORM_DELTA,CASEIN KINASE I ISOFORM DELTA,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_CHEK1,CHEK1,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_1_INHIBITOR,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1 INHIBITOR,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_2_INHIBITOR,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 2 INHIBITOR,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_EGFR,EGFR,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_EGFR_SIGNALING,EGFR SIGNALING,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_FERROCHELATASE_MITOCHONDRIAL,"FERROCHELATASE, MITOCHONDRIAL",0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_FLT1,FLT1,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_FLT4,FLT4,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_KIT,KIT,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_MDM2,MDM2,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_MEK1,MEK1,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_MEK2,MEK2,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_P53_PATHWAY,P53 PATHWAY,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_PDGFR,PDGFR,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_PHOSPHATIDYLINOSITOL_3_KINASE_CATALYTIC_SUBUNIT_TYPE_3,PHOSPHATIDYLINOSITOL 3-KINASE CATALYTIC SUBUNIT TYPE 3,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_C2_DOMAIN_CONTAINING_SUBUNIT_A,PHOSPHATIDYLINOSITOL 4-PHOSPHATE 3-KINASE C2 DOMAIN-CONTAINING SUBUNIT ALPHA,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_PI3K_CLASS_1,PI3K (CLASS 1),0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_PI3_KINASE_CLASS_I_INHIBITOR,PI3-KINASE CLASS I INHIBITOR,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_RECEPTOR_INTERACTING_SERINE_THREONINE_PROTEIN_KINASE_3,RECEPTOR-INTERACTING SERINE/THREONINE-PROTEIN KINASE 3,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_SERINE,SERINE,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_INHIBITOR,VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR INHIBITOR,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_VEGFR,VEGFR,0.4897959183673468,1.0,inf,2.382049087324933,enriched_in_improve,2,0.005
rawtok_TYROSINE_PROTEIN_KINASE_LCK,TYROSINE-PROTEIN KINASE LCK,0.4962044870325002,1.0,1.9444444444444444,0.8850642331553401,enriched_in_improve,11,0.005
rawtok_EPIDERMAL_GROWTH_FACTOR_RECEPTOR,EPIDERMAL GROWTH FACTOR RECEPTOR,0.5201947495547621,1.0,1.7882352941176471,0.784150424530324,enriched_in_improve,13,0.005
rawtok_ADENOSINE_RECEPTOR_A3,ADENOSINE RECEPTOR A3,0.609205384281372,1.0,3.1363636363636362,1.2851281766844107,enriched_in_improve,4,0.005
rawtok_ERK_MAPK_SIGNALING,ERK MAPK SIGNALING,0.609205384281372,1.0,3.1363636363636362,1.2851281766844107,enriched_in_improve,4,0.005
rawtok_INTERLEUKIN_1_RECEPTOR_ASSOCIATED_KINASE_1,INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 1,0.609205384281372,1.0,3.1363636363636362,1.2851281766844107,enriched_in_improve,4,0.005
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_3,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 3,0.609205384281372,1.0,3.1363636363636362,1.2851281766844107,enriched_in_improve,4,0.005
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_KINASE_1,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 1,0.609205384281372,1.0,3.1363636363636362,1.2851281766844107,enriched_in_improve,4,0.005
rawtok_MUSCARINIC_ACETYLCHOLINE_RECEPTOR_M2,MUSCARINIC ACETYLCHOLINE RECEPTOR M2,0.609205384281372,1.0,3.1363636363636362,1.2851281766844107,enriched_in_improve,4,0.005
rawtok_PARP1,PARP1,0.609205384281372,1.0,3.1363636363636362,1.2851281766844107,enriched_in_improve,4,0.005
rawtok_PARP2,PARP2,0.609205384281372,1.0,3.1363636363636362,1.2851281766844107,enriched_in_improve,4,0.005
rawtok_POLY_ADP_RIBOSE_POLYMERASE_1,POLY [ADP-RIBOSE] POLYMERASE 1,0.609205384281372,1.0,3.1363636363636362,1.2851281766844107,enriched_in_improve,4,0.005
rawtok_POLY_ADP_RIBOSE_POLYMERASE_2,POLY [ADP-RIBOSE] POLYMERASE 2,0.609205384281372,1.0,3.1363636363636362,1.2851281766844107,enriched_in_improve,4,0.005
rawtok_POLY_ADP_RIBOSE_POLYMERASE_TANKYRASE_1,POLY [ADP-RIBOSE] POLYMERASE TANKYRASE-1,0.609205384281372,1.0,3.1363636363636362,1.2851281766844107,enriched_in_improve,4,0.005
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP10,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP10,0.609205384281372,1.0,3.1363636363636362,1.2851281766844107,enriched_in_improve,4,0.005
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP3,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP3,0.609205384281372,1.0,3.1363636363636362,1.2851281766844107,enriched_in_improve,4,0.005
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP4,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP4,0.609205384281372,1.0,3.1363636363636362,1.2851281766844107,enriched_in_improve,4,0.005
rawtok_RIBOSOMAL_PROTEIN_S6_KINASE_ALPHA_6,RIBOSOMAL PROTEIN S6 KINASE ALPHA-6,0.609205384281372,1.0,3.1363636363636362,1.2851281766844107,enriched_in_improve,4,0.005
rawtok_RTK_SIGNALING,RTK SIGNALING,0.609205384281372,1.0,3.1363636363636362,1.2851281766844107,enriched_in_improve,4,0.005
rawtok_SERINE_THREONINE_PROTEIN_KINASE_4,SERINE/THREONINE-PROTEIN KINASE 4,0.609205384281372,1.0,3.1363636363636362,1.2851281766844107,enriched_in_improve,4,0.005
rawtok_TYROSINE_PROTEIN_KINASE_RECEPTOR_UFO,TYROSINE-PROTEIN KINASE RECEPTOR UFO,0.609205384281372,1.0,3.1363636363636362,1.2851281766844107,enriched_in_improve,4,0.005
rawtok_TYROSINE_PROTEIN_KINASE_TXK,TYROSINE-PROTEIN KINASE TXK,0.609205384281372,1.0,3.1363636363636362,1.2851281766844107,enriched_in_improve,4,0.005
rawtok_5_AMP_ACTIVATED_PROTEIN_KINASE_CATALYTIC_SUBUNIT_ALPHA_1,5'-AMP-ACTIVATED PROTEIN KINASE CATALYTIC SUBUNIT ALPHA-1,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_ALK_TYROSINE_KINASE_RECEPTOR,ALK TYROSINE KINASE RECEPTOR,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_ANGIOPOIETIN_1_RECEPTOR,ANGIOPOIETIN-1 RECEPTOR,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_ANKYRIN_REPEAT_AND_PROTEIN_KINASE_DOMAIN_CONTAINING_PROTEIN_1,ANKYRIN REPEAT AND PROTEIN KINASE DOMAIN-CONTAINING PROTEIN 1,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_BONE_MORPHOGENETIC_PROTEIN_RECEPTOR_TYPE_1B,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE-1B,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_BROMODOMAIN_CONTAINING_PROTEIN_4,BROMODOMAIN-CONTAINING PROTEIN 4,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_1,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE 1,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_II_SUBUNIT_DELTA,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT DELTA,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_II_SUBUNIT_GAMMA,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT GAMMA,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_DUAL_SPECIFICITY_TESTIS_SPECIFIC_PROTEIN_KINASE_1,DUAL SPECIFICITY TESTIS-SPECIFIC PROTEIN KINASE 1,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_EIF_2_ALPHA_KINASE_GCN2,EIF-2-ALPHA KINASE GCN2,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_EPHRIN_TYPE_A_RECEPTOR_1,EPHRIN TYPE-A RECEPTOR 1,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_EPHRIN_TYPE_A_RECEPTOR_3,EPHRIN TYPE-A RECEPTOR 3,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_EPHRIN_TYPE_A_RECEPTOR_5,EPHRIN TYPE-A RECEPTOR 5,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_EPHRIN_TYPE_B_RECEPTOR_1,EPHRIN TYPE-B RECEPTOR 1,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_EPHRIN_TYPE_B_RECEPTOR_4,EPHRIN TYPE-B RECEPTOR 4,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_3,FIBROBLAST GROWTH FACTOR RECEPTOR 3,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_HOMEODOMAIN_INTERACTING_PROTEIN_KINASE_1,HOMEODOMAIN-INTERACTING PROTEIN KINASE 1,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_HOMEODOMAIN_INTERACTING_PROTEIN_KINASE_2,HOMEODOMAIN-INTERACTING PROTEIN KINASE 2,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_HOMEODOMAIN_INTERACTING_PROTEIN_KINASE_3,HOMEODOMAIN-INTERACTING PROTEIN KINASE 3,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_MACROPHAGE_STIMULATING_PROTEIN_RECEPTOR,MACROPHAGE-STIMULATING PROTEIN RECEPTOR,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_7,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 7,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
rawtok_MU_TYPE_OPIOID_RECEPTOR,MU-TYPE OPIOID RECEPTOR,0.609205384281372,1.0,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
