feature,raw_token,theme,theme_mapping_status,log2_odds_ratio,minus_log10_p,pvalue,n_drugs_supporting_token,support_rate_total,effect_direction,lodo_sign_consistency,lodo_p_lt_0_05_rate,lodo_majority_direction,threshold_sign_consistency,threshold_p_lt_0_05_rate,threshold_majority_direction,token_effect_sign,abs_log2_odds_ratio,theme_majority_token_direction,theme_majority_token_sign,passes_support,passes_effect_size,passes_lodo,passes_threshold,aligns_with_theme_direction,token_keep_flag
rawtok_CELL_CYCLE,CELL CYCLE,CELL_CYCLE_MITOSIS_KINASE,mapped,-0.33120590847537323,-0.0,1.0,2.0,0.05555555555555555,enriched_in_worsen,1.0,0.0,enriched_in_worsen,0.5,0.0,enriched_in_improve,-1,0.33120590847537323,enriched_in_worsen,-1,True,True,True,False,True,False
rawtok_FLT1,FLT1,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped,,,,,,,,,,1.0,0.0,enriched_in_improve,0,,enriched_in_improve,1,False,False,False,True,False,False
rawtok_PIK3CA,PIK3CA,PI3K_AKT_MTOR,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_AKT1,AKT1,PI3K_AKT_MTOR,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_FLT4,FLT4,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped,,,,,,,,,,1.0,0.0,enriched_in_improve,0,,enriched_in_improve,1,False,False,False,True,False,False
rawtok_GENOME_INTEGRITY,GENOME INTEGRITY,DNA_REPLICATION_GENOME_INTEGRITY,mapped,-0.3514723705013777,-0.0,1.0,4.0,0.1111111111111111,enriched_in_worsen,0.9444444444444444,0.0,enriched_in_worsen,1.0,0.0,enriched_in_worsen,-1,0.3514723705013777,enriched_in_worsen,-1,True,True,True,True,True,True
rawtok_ERK_MAPK_SIGNALING,ERK MAPK SIGNALING,MAP2K_MEK_ERK_RAF_CASCADE,mapped,2.156868848616866,0.3079788556193091,0.492063492063492,2.0,0.05555555555555555,enriched_in_improve,1.0,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,2.156868848616866,enriched_in_improve,1,True,True,True,True,True,True
rawtok_MET,MET,MET_HGF_RTK,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_MITOSIS,MITOSIS,CELL_CYCLE_MITOSIS_KINASE,mapped,-2.821499104377874,0.720159303405957,0.19047619047619044,2.0,0.05555555555555555,enriched_in_worsen,1.0,0.0,enriched_in_worsen,1.0,0.0,enriched_in_worsen,-1,2.821499104377874,enriched_in_worsen,-1,True,True,True,True,True,True
rawtok_APOPTOSIS_REGULATION,APOPTOSIS REGULATION,APOPTOSIS_BCL2,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_PIK3CG,PIK3CG,PI3K_AKT_MTOR,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_SRC,SRC,SRC_LCK_NONRECEPTOR_TK,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_BRAF,BRAF,MAP2K_MEK_ERK_RAF_CASCADE,mapped,,,,,,,,,,1.0,0.0,enriched_in_worsen,0,,enriched_in_improve,1,False,False,False,True,False,False
rawtok_CHROMATIN_HISTONE_METHYLATION,CHROMATIN HISTONE METHYLATION,CHROMATIN_EPIGENETIC,mapped,,,,,,,,,,,,,0,,enriched_in_worsen,-1,False,False,False,False,False,False
rawtok_MAP2K1,MAP2K1,MAP2K_MEK_ERK_RAF_CASCADE,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_PIK3CD,PIK3CD,PI3K_AKT_MTOR,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_RET,RET,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_BCL2,BCL2,APOPTOSIS_BCL2,mapped,-0.33120590847537323,-0.0,1.0,2.0,0.05555555555555555,enriched_in_worsen,1.0,0.0,enriched_in_worsen,0.6666666666666666,0.0,enriched_in_worsen,-1,0.33120590847537323,enriched_in_improve,1,True,True,True,False,False,False
rawtok_PIK3CB,PIK3CB,PI3K_AKT_MTOR,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_CHEK1,CHEK1,PARP_DNA_REPAIR_CHECKPOINT,mapped,,,,,,,,,,1.0,0.0,enriched_in_improve,0,,enriched_in_worsen,-1,False,False,False,True,False,False
rawtok_EPIDERMAL_GROWTH_FACTOR_RECEPTOR,EPIDERMAL GROWTH FACTOR RECEPTOR,ERBB_EGFR_FAMILY_RTK,mapped,-0.020833503417165656,-0.0,1.0,9.0,0.25,enriched_in_worsen,0.5277777777777778,0.0,enriched_in_improve,0.6666666666666666,0.0,enriched_in_worsen,-1,0.020833503417165656,enriched_in_improve,1,True,False,False,False,False,False
rawtok_AKT2,AKT2,PI3K_AKT_MTOR,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_AKT3,AKT3,PI3K_AKT_MTOR,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_BRD4,BRD4,CHROMATIN_EPIGENETIC,mapped,-0.33120590847537323,-0.0,1.0,2.0,0.05555555555555555,enriched_in_worsen,1.0,0.0,enriched_in_worsen,1.0,0.0,enriched_in_worsen,-1,0.33120590847537323,enriched_in_worsen,-1,True,True,True,True,True,True
rawtok_CHROMATIN_OTHER,CHROMATIN OTHER,CHROMATIN_EPIGENETIC,mapped,-0.33120590847537323,-0.0,1.0,2.0,0.05555555555555555,enriched_in_worsen,1.0,0.0,enriched_in_worsen,1.0,0.0,enriched_in_worsen,-1,0.33120590847537323,enriched_in_worsen,-1,True,True,True,True,True,True
rawtok_KCNH2,KCNH2,ION_CHANNEL_TRANSPORTER,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_LCK,LCK,SRC_LCK_NONRECEPTOR_TK,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_MAPK14,MAPK14,JNK_P38_STRESS_MAPK,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_TYROSINE_PROTEIN_KINASE_LCK,TYROSINE-PROTEIN KINASE LCK,SRC_LCK_NONRECEPTOR_TK,mapped,1.0412882084906319,0.37015483395399357,0.42642746248059327,7.0,0.19444444444444445,enriched_in_improve,1.0,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,1.0412882084906319,enriched_in_improve,1,True,True,True,True,True,True
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_1,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1,MAP2K_MEK_ERK_RAF_CASCADE,mapped,1.0473057147783569,0.2125848109953883,0.6129360835243187,4.0,0.1111111111111111,enriched_in_improve,1.0,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,1.0473057147783569,enriched_in_improve,1,True,True,True,True,True,True
rawtok_PROTO_ONCOGENE_TYROSINE_PROTEIN_KINASE_RECEPTOR_RET,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE RECEPTOR RET,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped,-0.37439551478149785,-0.0,1.0,6.0,0.16666666666666666,enriched_in_worsen,0.9166666666666666,0.0,enriched_in_worsen,0.5,0.0,enriched_in_worsen,-1,0.37439551478149785,enriched_in_improve,1,True,True,True,False,False,False
rawtok_ALK,ALK,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_2,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 2,MAP2K_MEK_ERK_RAF_CASCADE,mapped,0.4817085389241315,-0.0,1.0,3.0,0.08333333333333333,enriched_in_improve,0.9444444444444444,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,0.4817085389241315,enriched_in_improve,1,True,True,True,True,True,True
rawtok_EGFR_SIGNALING,EGFR SIGNALING,ERBB_EGFR_FAMILY_RTK,mapped,2.156868848616866,0.3079788556193091,0.492063492063492,2.0,0.05555555555555555,enriched_in_improve,1.0,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,2.156868848616866,enriched_in_improve,1,True,True,True,True,True,True
rawtok_ERBB4,ERBB4,ERBB_EGFR_FAMILY_RTK,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_KINASE_5,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 5,MAP2K_MEK_ERK_RAF_CASCADE,mapped,0.21412480535284734,-0.0,1.0,5.0,0.1388888888888889,enriched_in_improve,0.9166666666666666,0.0,enriched_in_improve,0.5,0.0,enriched_in_improve,1,0.21412480535284734,enriched_in_improve,1,True,False,True,False,True,False
rawtok_PDGFR,PDGFR,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped,,,,,,,,,,1.0,0.0,enriched_in_improve,0,,enriched_in_improve,1,False,False,False,True,False,False
rawtok_PROTEIN_STABILITY_AND_DEGRADATION,PROTEIN STABILITY AND DEGRADATION,PROTEOSTASIS,mapped,,,,,,,,,,,,,0,,neutral_or_missing,0,False,False,False,False,False,False
rawtok_RECEPTOR_TYPE_TYROSINE_PROTEIN_KINASE_FLT3,RECEPTOR-TYPE TYROSINE-PROTEIN KINASE FLT3,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped,0.6615837823240687,0.17247289457808127,0.6722442642746249,6.0,0.16666666666666666,enriched_in_improve,1.0,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,0.6615837823240687,enriched_in_improve,1,True,True,True,True,True,True
rawtok_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR,HEPATOCYTE GROWTH FACTOR RECEPTOR,MET_HGF_RTK,mapped,1.0412882084906319,0.37015483395399357,0.42642746248059327,7.0,0.19444444444444445,enriched_in_improve,1.0,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,1.0412882084906319,enriched_in_improve,1,True,True,True,True,True,True
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_KINASE_4,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 4,MAP2K_MEK_ERK_RAF_CASCADE,mapped,-0.3514723705013777,-0.0,1.0,4.0,0.1111111111111111,enriched_in_worsen,0.9444444444444444,0.0,enriched_in_worsen,1.0,0.0,enriched_in_worsen,-1,0.3514723705013777,enriched_in_improve,1,True,True,True,True,False,False
rawtok_PROTO_ONCOGENE_TYROSINE_PROTEIN_KINASE_SRC,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE SRC,SRC_LCK_NONRECEPTOR_TK,mapped,-0.3514723705013777,-0.0,1.0,4.0,0.1111111111111111,enriched_in_worsen,0.9444444444444444,0.0,enriched_in_worsen,1.0,0.0,enriched_in_worsen,-1,0.3514723705013777,enriched_in_improve,1,True,True,True,True,False,False
rawtok_SYK,SYK,SRC_LCK_NONRECEPTOR_TK,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_VOLTAGE_GATED_INWARDLY_RECTIFYING_POTASSIUM_CHANNEL_KCNH2,VOLTAGE-GATED INWARDLY RECTIFYING POTASSIUM CHANNEL KCNH2,ION_CHANNEL_TRANSPORTER,mapped,1.0412882084906319,0.37015483395399357,0.42642746248059327,7.0,0.19444444444444445,enriched_in_improve,1.0,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,1.0412882084906319,enriched_in_improve,1,True,True,True,True,True,True
rawtok_ATR,ATR,PARP_DNA_REPAIR_CHECKPOINT,mapped,,,,,,,,,,,,,0,,enriched_in_worsen,-1,False,False,False,False,False,False
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_5,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 5,MAP2K_MEK_ERK_RAF_CASCADE,mapped,3.169925001442312,0.9463520065762215,0.11314828961887782,4.0,0.1111111111111111,enriched_in_improve,1.0,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,3.169925001442312,enriched_in_improve,1,True,True,True,True,True,True
rawtok_JNK_AND_P38_SIGNALING,JNK AND P38 SIGNALING,JNK_P38_STRESS_MAPK,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_MAP2K2,MAP2K2,MAP2K_MEK_ERK_RAF_CASCADE,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_MAPK11,MAPK11,JNK_P38_STRESS_MAPK,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_MCL1,MCL1,APOPTOSIS_BCL2,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_TYROSINE_PROTEIN_KINASE_BLK,TYROSINE-PROTEIN KINASE BLK,SRC_LCK_NONRECEPTOR_TK,mapped,1.0473057147783569,0.2125848109953883,0.6129360835243187,4.0,0.1111111111111111,enriched_in_improve,1.0,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,1.0473057147783569,enriched_in_improve,1,True,True,True,True,True,True
rawtok_TYROSINE_PROTEIN_KINASE_FRK,TYROSINE-PROTEIN KINASE FRK,SRC_LCK_NONRECEPTOR_TK,mapped,0.4817085389241315,-0.0,1.0,3.0,0.08333333333333333,enriched_in_improve,0.9444444444444444,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,0.4817085389241315,enriched_in_improve,1,True,True,True,True,True,True
rawtok_TYROSINE_PROTEIN_KINASE_FYN,TYROSINE-PROTEIN KINASE FYN,SRC_LCK_NONRECEPTOR_TK,mapped,-1.1643868179008823,0.24091435505643902,0.5742296918767505,3.0,0.08333333333333333,enriched_in_worsen,1.0,0.0,enriched_in_worsen,0.6666666666666666,0.0,enriched_in_worsen,-1,1.1643868179008823,enriched_in_improve,1,True,True,True,False,False,False
rawtok_TYROSINE_PROTEIN_KINASE_HCK,TYROSINE-PROTEIN KINASE HCK,SRC_LCK_NONRECEPTOR_TK,mapped,0.4817085389241315,-0.0,1.0,3.0,0.08333333333333333,enriched_in_improve,0.9444444444444444,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,0.4817085389241315,enriched_in_improve,1,True,True,True,True,True,True
rawtok_TYROSINE_PROTEIN_KINASE_LYN,TYROSINE-PROTEIN KINASE LYN,SRC_LCK_NONRECEPTOR_TK,mapped,0.4817085389241315,-0.0,1.0,3.0,0.08333333333333333,enriched_in_improve,0.9444444444444444,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,0.4817085389241315,enriched_in_improve,1,True,True,True,True,True,True
rawtok_VEGFR,VEGFR,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped,,,,,,,,,,1.0,0.0,enriched_in_improve,0,,enriched_in_improve,1,False,False,False,True,False,False
rawtok_AURORA_KINASE_B,AURORA KINASE B,CELL_CYCLE_MITOSIS_KINASE,mapped,0.4817085389241315,-0.0,1.0,3.0,0.08333333333333333,enriched_in_improve,0.9444444444444444,0.0,enriched_in_improve,0.5,0.0,enriched_in_improve,1,0.4817085389241315,enriched_in_worsen,-1,True,True,True,False,False,False
rawtok_BRD2,BRD2,CHROMATIN_EPIGENETIC,mapped,,,,,,,,,,,,,0,,enriched_in_worsen,-1,False,False,False,False,False,False
rawtok_CYCLIN_G_ASSOCIATED_KINASE,CYCLIN-G-ASSOCIATED KINASE,SER_THR_KINASE_SIGNALING,mapped,3.169925001442312,0.9463520065762215,0.11314828961887782,4.0,0.1111111111111111,enriched_in_improve,1.0,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,3.169925001442312,enriched_in_improve,1,True,True,True,True,True,True
rawtok_EPHRIN_TYPE_B_RECEPTOR_6,EPHRIN TYPE-B RECEPTOR 6,EPH_RECEPTOR_SIGNALING,mapped,3.169925001442312,0.9463520065762215,0.11314828961887782,4.0,0.1111111111111111,enriched_in_improve,1.0,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,3.169925001442312,enriched_in_worsen,-1,True,True,True,True,False,False
rawtok_KIF11,KIF11,CELL_CYCLE_MITOSIS_KINASE,mapped,,,,,,,,,,,,,0,,enriched_in_worsen,-1,False,False,False,False,False,False
rawtok_MAST_STEM_CELL_GROWTH_FACTOR_RECEPTOR_KIT,MAST/STEM CELL GROWTH FACTOR RECEPTOR KIT,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped,0.4817085389241315,-0.0,1.0,3.0,0.08333333333333333,enriched_in_improve,0.9444444444444444,0.0,enriched_in_improve,0.5,0.0,enriched_in_improve,1,0.4817085389241315,enriched_in_improve,1,True,True,True,False,True,False
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_10,MITOGEN-ACTIVATED PROTEIN KINASE 10,JNK_P38_STRESS_MAPK,mapped,1.494764691749578,0.44990198843966606,0.3548934725405313,5.0,0.1388888888888889,enriched_in_improve,1.0,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,1.494764691749578,enriched_in_improve,1,True,True,True,True,True,True
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_20,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 20,MAP2K_MEK_ERK_RAF_CASCADE,mapped,-0.33120590847537323,-0.0,1.0,2.0,0.05555555555555555,enriched_in_worsen,1.0,0.0,enriched_in_worsen,1.0,0.0,enriched_in_worsen,-1,0.33120590847537323,enriched_in_improve,1,True,True,True,True,False,False
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_KINASE_2,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 2,MAP2K_MEK_ERK_RAF_CASCADE,mapped,0.4817085389241315,-0.0,1.0,3.0,0.08333333333333333,enriched_in_improve,0.9444444444444444,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,0.4817085389241315,enriched_in_improve,1,True,True,True,True,True,True
rawtok_SLC6A3,SLC6A3,ION_CHANNEL_TRANSPORTER,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_SODIUM_DEPENDENT_DOPAMINE_TRANSPORTER,SODIUM-DEPENDENT DOPAMINE TRANSPORTER,ION_CHANNEL_TRANSPORTER,mapped,0.6615837823240687,0.17247289457808127,0.6722442642746249,6.0,0.16666666666666666,enriched_in_improve,1.0,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,0.6615837823240687,enriched_in_improve,1,True,True,True,True,True,True
rawtok_TYROSINE_PROTEIN_KINASE_FGR,TYROSINE-PROTEIN KINASE FGR,SRC_LCK_NONRECEPTOR_TK,mapped,0.4817085389241315,-0.0,1.0,3.0,0.08333333333333333,enriched_in_improve,0.9444444444444444,0.0,enriched_in_improve,0.5,0.0,enriched_in_improve,1,0.4817085389241315,enriched_in_improve,1,True,True,True,False,True,False
rawtok_BCL_XL,BCL-XL,APOPTOSIS_BCL2,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_BRD3,BRD3,CHROMATIN_EPIGENETIC,mapped,,,,,,,,,,,,,0,,enriched_in_worsen,-1,False,False,False,False,False,False
rawtok_CASEIN_KINASE_II_SUBUNIT_ALPHA__2,CASEIN KINASE II SUBUNIT ALPHA',SER_THR_KINASE_SIGNALING,mapped,0.4817085389241315,-0.0,1.0,3.0,0.08333333333333333,enriched_in_improve,0.9444444444444444,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,0.4817085389241315,enriched_in_improve,1,True,True,True,True,True,True
rawtok_EPHRIN_TYPE_A_RECEPTOR_6,EPHRIN TYPE-A RECEPTOR 6,EPH_RECEPTOR_SIGNALING,mapped,0.4817085389241315,-0.0,1.0,3.0,0.08333333333333333,enriched_in_improve,0.9444444444444444,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,0.4817085389241315,enriched_in_worsen,-1,True,True,True,True,False,False
rawtok_ERK2,ERK2,MAP2K_MEK_ERK_RAF_CASCADE,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_HOMEODOMAIN_INTERACTING_PROTEIN_KINASE_4,HOMEODOMAIN-INTERACTING PROTEIN KINASE 4,SER_THR_KINASE_SIGNALING,mapped,2.722466024471091,0.6232492903979006,0.23809523809523803,3.0,0.08333333333333333,enriched_in_improve,1.0,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,2.722466024471091,enriched_in_improve,1,True,True,True,True,True,True
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_19,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 19,MAP2K_MEK_ERK_RAF_CASCADE,mapped,2.722466024471091,0.6232492903979006,0.23809523809523803,3.0,0.08333333333333333,enriched_in_improve,1.0,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,2.722466024471091,enriched_in_improve,1,True,True,True,True,True,True
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_KINASE_1,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 1,MAP2K_MEK_ERK_RAF_CASCADE,mapped,,,,,,,,,,1.0,0.0,enriched_in_improve,0,,enriched_in_improve,1,False,False,False,True,False,False
rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_2,RECEPTOR TYROSINE-PROTEIN KINASE ERBB-2,ERBB_EGFR_FAMILY_RTK,mapped,3.169925001442312,0.9463520065762215,0.11314828961887782,4.0,0.1111111111111111,enriched_in_improve,1.0,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,3.169925001442312,enriched_in_improve,1,True,True,True,True,True,True
rawtok_SERINE_THREONINE_PROTEIN_KINASE_B_RAF,SERINE/THREONINE-PROTEIN KINASE B-RAF,MAP2K_MEK_ERK_RAF_CASCADE,mapped,1.0473057147783569,0.2125848109953883,0.6129360835243187,4.0,0.1111111111111111,enriched_in_improve,1.0,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,1.0473057147783569,enriched_in_improve,1,True,True,True,True,True,True
rawtok_SERINE_THREONINE_PROTEIN_KINASE_CHK1,SERINE/THREONINE-PROTEIN KINASE CHK1,PARP_DNA_REPAIR_CHECKPOINT,mapped,-0.33120590847537323,-0.0,1.0,2.0,0.05555555555555555,enriched_in_worsen,1.0,0.0,enriched_in_worsen,1.0,0.0,enriched_in_worsen,-1,0.33120590847537323,enriched_in_worsen,-1,True,True,True,True,True,True
rawtok_ATM,ATM,PARP_DNA_REPAIR_CHECKPOINT,mapped,,,,,,,,,,,,,0,,enriched_in_worsen,-1,False,False,False,False,False,False
rawtok_BILE_SALT_EXPORT_PUMP,BILE SALT EXPORT PUMP,ION_CHANNEL_TRANSPORTER,mapped,1.494764691749578,0.44990198843966606,0.3548934725405313,5.0,0.1388888888888889,enriched_in_improve,1.0,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,1.494764691749578,enriched_in_improve,1,True,True,True,True,True,True
rawtok_ERK1,ERK1,MAP2K_MEK_ERK_RAF_CASCADE,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_ERK5,ERK5,MAP2K_MEK_ERK_RAF_CASCADE,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_HISTONE_DEACETYLASE_6,HISTONE DEACETYLASE 6,CHROMATIN_EPIGENETIC,mapped,0.21412480535284734,-0.0,1.0,5.0,0.1388888888888889,enriched_in_improve,0.9166666666666666,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,0.21412480535284734,enriched_in_worsen,-1,True,False,True,True,False,False
rawtok_HSP90,HSP90,PROTEOSTASIS,mapped,,,,,,,,,,,,,0,,neutral_or_missing,0,False,False,False,False,False,False
rawtok_LYN,LYN,SRC_LCK_NONRECEPTOR_TK,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_MAPK12,MAPK12,JNK_P38_STRESS_MAPK,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
