feature,raw_token,thresholds_evaluable,threshold_median_log2_odds_ratio,threshold_sign_consistency,threshold_p_lt_0_05_rate,threshold_fdr_lt_0_10_rate,threshold_majority_direction
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_12,MITOGEN-ACTIVATED PROTEIN KINASE 12,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_13,MITOGEN-ACTIVATED PROTEIN KINASE 13,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_15,MITOGEN-ACTIVATED PROTEIN KINASE 15,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_MITOSIS,MITOSIS,3,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_MUSCLE_SKELETAL_RECEPTOR_TYROSINE_PROTEIN_KINASE,"MUSCLE, SKELETAL RECEPTOR TYROSINE-PROTEIN KINASE",1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_NT_3_GROWTH_FACTOR_RECEPTOR,NT-3 GROWTH FACTOR RECEPTOR,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_PAIRED_BOX_PROTEIN_PAX_8,PAIRED BOX PROTEIN PAX-8,2,-2.661999722453529,1.0,0.0,0.0,enriched_in_worsen
rawtok_RIBOSOMAL_PROTEIN_S6_KINASE_ALPHA_1,RIBOSOMAL PROTEIN S6 KINASE ALPHA-1,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_ENDORIBONUCLEASE_IRE2,SERINE/THREONINE-PROTEIN KINASE/ENDORIBONUCLEASE IRE2,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_MRCK_ALPHA,SERINE/THREONINE-PROTEIN KINASE MRCK ALPHA,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_MRCK_GAMMA,SERINE/THREONINE-PROTEIN KINASE MRCK GAMMA,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_OSR1,SERINE/THREONINE-PROTEIN KINASE OSR1,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_PAK_1,SERINE/THREONINE-PROTEIN KINASE PAK 1,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_PLK1,SERINE/THREONINE-PROTEIN KINASE PLK1,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_SGK3,SERINE/THREONINE-PROTEIN KINASE SGK3,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_TAO1,SERINE/THREONINE-PROTEIN KINASE TAO1,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_TAO2,SERINE/THREONINE-PROTEIN KINASE TAO2,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_TAO3,SERINE/THREONINE-PROTEIN KINASE TAO3,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_TGF_BETA_RECEPTOR_TYPE_2,TGF-BETA RECEPTOR TYPE-2,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_TUMOR_NECROSIS_FACTOR,TUMOR NECROSIS FACTOR,2,-2.661999722453529,1.0,0.0,0.0,enriched_in_worsen
rawtok_TYROSINE_PROTEIN_KINASE_SRMS,TYROSINE-PROTEIN KINASE SRMS,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_CASEIN_KINASE_I_ISOFORM_EPSILON,CASEIN KINASE I ISOFORM EPSILON,2,2.8263388471571145,1.0,0.0,0.0,enriched_in_improve
rawtok_MELANOCORTIN_RECEPTOR_3,MELANOCORTIN RECEPTOR 3,2,2.8263388471571145,1.0,0.0,0.0,enriched_in_improve
rawtok_VOLTAGE_GATED_INWARDLY_RECTIFYING_POTASSIUM_CHANNEL_KCNH2,VOLTAGE-GATED INWARDLY RECTIFYING POTASSIUM CHANNEL KCNH2,2,1.3131253546058939,1.0,0.0,0.0,enriched_in_improve
rawtok_AURORA_KINASE_A,AURORA KINASE A,2,-0.8710217096124657,1.0,0.0,0.0,enriched_in_worsen
rawtok_DISCOIDIN_DOMAIN_CONTAINING_RECEPTOR_2,DISCOIDIN DOMAIN-CONTAINING RECEPTOR 2,2,-0.8710217096124657,1.0,0.0,0.0,enriched_in_worsen
rawtok_DUAL_SPECIFICITY_PROTEIN_KINASE_CLK1,DUAL SPECIFICITY PROTEIN KINASE CLK1,2,-0.8710217096124657,1.0,0.0,0.0,enriched_in_worsen
rawtok_DUAL_SPECIFICITY_PROTEIN_KINASE_CLK2,DUAL SPECIFICITY PROTEIN KINASE CLK2,2,-0.8710217096124657,1.0,0.0,0.0,enriched_in_worsen
rawtok_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_4,FIBROBLAST GROWTH FACTOR RECEPTOR 4,1,-1.4108375107495583,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_NEK2,SERINE/THREONINE-PROTEIN KINASE NEK2,2,-0.8710217096124657,1.0,0.0,0.0,enriched_in_worsen
rawtok_BILE_SALT_EXPORT_PUMP,BILE SALT EXPORT PUMP,2,1.6040256447231367,1.0,0.0,0.0,enriched_in_improve
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_19,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 19,2,2.2178763110838933,1.0,0.0,0.0,enriched_in_improve
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_5,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 5,2,2.220864808451919,1.0,0.0,0.0,enriched_in_improve
rawtok_SERINE_THREONINE_PROTEIN_KINASE_10,SERINE/THREONINE-PROTEIN KINASE 10,2,1.1595551651199414,1.0,0.0,0.0,enriched_in_improve
rawtok_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_1,FIBROBLAST GROWTH FACTOR RECEPTOR 1,2,-0.6881198310449386,1.0,0.0,0.0,enriched_in_worsen
rawtok_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_ALPHA,PLATELET-DERIVED GROWTH FACTOR RECEPTOR ALPHA,2,-1.104710285757693,1.0,0.0,0.0,enriched_in_worsen
rawtok_GENOME_INTEGRITY,GENOME INTEGRITY,3,-0.3514723705013777,1.0,0.0,0.0,enriched_in_worsen
rawtok_PROTO_ONCOGENE_TYROSINE_PROTEIN_KINASE_SRC,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE SRC,2,-0.6049999722742486,1.0,0.0,0.0,enriched_in_worsen
rawtok_ALPHA_2B_ADRENERGIC_RECEPTOR,ALPHA-2B ADRENERGIC RECEPTOR,2,2.269458967970899,1.0,0.0,0.0,enriched_in_improve
rawtok_APOPTOSIS_REGULATOR_BCL_2,APOPTOSIS REGULATOR BCL-2,2,2.269458967970899,1.0,0.0,0.0,enriched_in_improve
rawtok_BETA_1_ADRENERGIC_RECEPTOR,BETA-1 ADRENERGIC RECEPTOR,2,2.269458967970899,1.0,0.0,0.0,enriched_in_improve
rawtok_BREAKPOINT_CLUSTER_REGION_PROTEIN,BREAKPOINT CLUSTER REGION PROTEIN,1,2.382049087324933,1.0,0.0,0.0,enriched_in_improve
rawtok_CASEIN_KINASE_I_ISOFORM_DELTA,CASEIN KINASE I ISOFORM DELTA,2,2.269458967970899,1.0,0.0,0.0,enriched_in_improve
rawtok_CHEK1,CHEK1,1,2.382049087324933,1.0,0.0,0.0,enriched_in_improve
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_1_INHIBITOR,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1 INHIBITOR,1,2.382049087324933,1.0,0.0,0.0,enriched_in_improve
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_2_INHIBITOR,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 2 INHIBITOR,1,2.382049087324933,1.0,0.0,0.0,enriched_in_improve
rawtok_EGFR,EGFR,2,2.269458967970899,1.0,0.0,0.0,enriched_in_improve
rawtok_EGFR_SIGNALING,EGFR SIGNALING,2,2.269458967970899,1.0,0.0,0.0,enriched_in_improve
rawtok_FERROCHELATASE_MITOCHONDRIAL,"FERROCHELATASE, MITOCHONDRIAL",2,2.269458967970899,1.0,0.0,0.0,enriched_in_improve
rawtok_FLT1,FLT1,1,2.382049087324933,1.0,0.0,0.0,enriched_in_improve
rawtok_FLT4,FLT4,1,2.382049087324933,1.0,0.0,0.0,enriched_in_improve
rawtok_KIT,KIT,1,2.382049087324933,1.0,0.0,0.0,enriched_in_improve
rawtok_MDM2,MDM2,1,2.382049087324933,1.0,0.0,0.0,enriched_in_improve
rawtok_MEK1,MEK1,1,2.382049087324933,1.0,0.0,0.0,enriched_in_improve
rawtok_MEK2,MEK2,1,2.382049087324933,1.0,0.0,0.0,enriched_in_improve
rawtok_P53_PATHWAY,P53 PATHWAY,1,2.382049087324933,1.0,0.0,0.0,enriched_in_improve
rawtok_PDGFR,PDGFR,1,2.382049087324933,1.0,0.0,0.0,enriched_in_improve
rawtok_PHOSPHATIDYLINOSITOL_3_KINASE_CATALYTIC_SUBUNIT_TYPE_3,PHOSPHATIDYLINOSITOL 3-KINASE CATALYTIC SUBUNIT TYPE 3,2,2.269458967970899,1.0,0.0,0.0,enriched_in_improve
rawtok_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_C2_DOMAIN_CONTAINING_SUBUNIT_A,PHOSPHATIDYLINOSITOL 4-PHOSPHATE 3-KINASE C2 DOMAIN-CONTAINING SUBUNIT ALPHA,2,2.269458967970899,1.0,0.0,0.0,enriched_in_improve
rawtok_PI3K_CLASS_1,PI3K (CLASS 1),2,2.269458967970899,1.0,0.0,0.0,enriched_in_improve
rawtok_PI3_KINASE_CLASS_I_INHIBITOR,PI3-KINASE CLASS I INHIBITOR,2,2.269458967970899,1.0,0.0,0.0,enriched_in_improve
rawtok_RECEPTOR_INTERACTING_SERINE_THREONINE_PROTEIN_KINASE_3,RECEPTOR-INTERACTING SERINE/THREONINE-PROTEIN KINASE 3,1,2.382049087324933,1.0,0.0,0.0,enriched_in_improve
rawtok_SERINE,SERINE,1,2.382049087324933,1.0,0.0,0.0,enriched_in_improve
rawtok_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_INHIBITOR,VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR INHIBITOR,1,2.382049087324933,1.0,0.0,0.0,enriched_in_improve
rawtok_VEGFR,VEGFR,1,2.382049087324933,1.0,0.0,0.0,enriched_in_improve
rawtok_TYROSINE_PROTEIN_KINASE_LCK,TYROSINE-PROTEIN KINASE LCK,3,0.8850642331553401,1.0,0.0,0.0,enriched_in_improve
rawtok_ADENOSINE_RECEPTOR_A3,ADENOSINE RECEPTOR A3,2,1.1662169457313838,1.0,0.0,0.0,enriched_in_improve
rawtok_ERK_MAPK_SIGNALING,ERK MAPK SIGNALING,2,1.7209985126506382,1.0,0.0,0.0,enriched_in_improve
rawtok_INTERLEUKIN_1_RECEPTOR_ASSOCIATED_KINASE_1,INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 1,2,2.003797100577751,1.0,0.0,0.0,enriched_in_improve
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_3,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 3,2,1.7209985126506382,1.0,0.0,0.0,enriched_in_improve
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_KINASE_1,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 1,1,1.2851281766844107,1.0,0.0,0.0,enriched_in_improve
rawtok_MUSCARINIC_ACETYLCHOLINE_RECEPTOR_M2,MUSCARINIC ACETYLCHOLINE RECEPTOR M2,2,1.1662169457313838,1.0,0.0,0.0,enriched_in_improve
rawtok_PARP1,PARP1,2,1.7209985126506382,1.0,0.0,0.0,enriched_in_improve
rawtok_PARP2,PARP2,2,1.7209985126506382,1.0,0.0,0.0,enriched_in_improve
rawtok_POLY_ADP_RIBOSE_POLYMERASE_1,POLY [ADP-RIBOSE] POLYMERASE 1,2,1.7209985126506382,1.0,0.0,0.0,enriched_in_improve
rawtok_POLY_ADP_RIBOSE_POLYMERASE_2,POLY [ADP-RIBOSE] POLYMERASE 2,2,1.7209985126506382,1.0,0.0,0.0,enriched_in_improve
rawtok_POLY_ADP_RIBOSE_POLYMERASE_TANKYRASE_1,POLY [ADP-RIBOSE] POLYMERASE TANKYRASE-1,2,1.7209985126506382,1.0,0.0,0.0,enriched_in_improve
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP10,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP10,2,1.7209985126506382,1.0,0.0,0.0,enriched_in_improve
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP3,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP3,2,1.7209985126506382,1.0,0.0,0.0,enriched_in_improve
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP4,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP4,2,1.7209985126506382,1.0,0.0,0.0,enriched_in_improve
rawtok_RIBOSOMAL_PROTEIN_S6_KINASE_ALPHA_6,RIBOSOMAL PROTEIN S6 KINASE ALPHA-6,2,1.7209985126506382,1.0,0.0,0.0,enriched_in_improve
rawtok_RTK_SIGNALING,RTK SIGNALING,2,1.7209985126506382,1.0,0.0,0.0,enriched_in_improve
rawtok_SERINE_THREONINE_PROTEIN_KINASE_4,SERINE/THREONINE-PROTEIN KINASE 4,2,1.7209985126506382,1.0,0.0,0.0,enriched_in_improve
rawtok_TYROSINE_PROTEIN_KINASE_RECEPTOR_UFO,TYROSINE-PROTEIN KINASE RECEPTOR UFO,2,2.003797100577751,1.0,0.0,0.0,enriched_in_improve
rawtok_TYROSINE_PROTEIN_KINASE_TXK,TYROSINE-PROTEIN KINASE TXK,2,2.003797100577751,1.0,0.0,0.0,enriched_in_improve
rawtok_5_AMP_ACTIVATED_PROTEIN_KINASE_CATALYTIC_SUBUNIT_ALPHA_1,5'-AMP-ACTIVATED PROTEIN KINASE CATALYTIC SUBUNIT ALPHA-1,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_ALK_TYROSINE_KINASE_RECEPTOR,ALK TYROSINE KINASE RECEPTOR,2,-0.5955141252135565,1.0,0.0,0.0,enriched_in_worsen
rawtok_ANGIOPOIETIN_1_RECEPTOR,ANGIOPOIETIN-1 RECEPTOR,2,-0.5955141252135565,1.0,0.0,0.0,enriched_in_worsen
rawtok_ANKYRIN_REPEAT_AND_PROTEIN_KINASE_DOMAIN_CONTAINING_PROTEIN_1,ANKYRIN REPEAT AND PROTEIN KINASE DOMAIN-CONTAINING PROTEIN 1,2,-0.5955141252135565,1.0,0.0,0.0,enriched_in_worsen
rawtok_BONE_MORPHOGENETIC_PROTEIN_RECEPTOR_TYPE_1B,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE-1B,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_BROMODOMAIN_CONTAINING_PROTEIN_4,BROMODOMAIN-CONTAINING PROTEIN 4,2,-1.012104579926311,1.0,0.0,0.0,enriched_in_worsen
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_1,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE 1,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_II_SUBUNIT_DELTA,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT DELTA,2,-0.5955141252135565,1.0,0.0,0.0,enriched_in_worsen
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_II_SUBUNIT_GAMMA,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT GAMMA,2,-0.5955141252135565,1.0,0.0,0.0,enriched_in_worsen
rawtok_DUAL_SPECIFICITY_TESTIS_SPECIFIC_PROTEIN_KINASE_1,DUAL SPECIFICITY TESTIS-SPECIFIC PROTEIN KINASE 1,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_EIF_2_ALPHA_KINASE_GCN2,EIF-2-ALPHA KINASE GCN2,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_EPHRIN_TYPE_A_RECEPTOR_1,EPHRIN TYPE-A RECEPTOR 1,2,-0.5955141252135565,1.0,0.0,0.0,enriched_in_worsen
rawtok_EPHRIN_TYPE_A_RECEPTOR_3,EPHRIN TYPE-A RECEPTOR 3,2,-0.5955141252135565,1.0,0.0,0.0,enriched_in_worsen
rawtok_EPHRIN_TYPE_A_RECEPTOR_5,EPHRIN TYPE-A RECEPTOR 5,2,-0.5955141252135565,1.0,0.0,0.0,enriched_in_worsen
rawtok_EPHRIN_TYPE_B_RECEPTOR_1,EPHRIN TYPE-B RECEPTOR 1,2,-0.5955141252135565,1.0,0.0,0.0,enriched_in_worsen
rawtok_EPHRIN_TYPE_B_RECEPTOR_4,EPHRIN TYPE-B RECEPTOR 4,2,-0.5955141252135565,1.0,0.0,0.0,enriched_in_worsen
rawtok_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_3,FIBROBLAST GROWTH FACTOR RECEPTOR 3,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_HOMEODOMAIN_INTERACTING_PROTEIN_KINASE_1,HOMEODOMAIN-INTERACTING PROTEIN KINASE 1,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_HOMEODOMAIN_INTERACTING_PROTEIN_KINASE_2,HOMEODOMAIN-INTERACTING PROTEIN KINASE 2,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_HOMEODOMAIN_INTERACTING_PROTEIN_KINASE_3,HOMEODOMAIN-INTERACTING PROTEIN KINASE 3,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_MACROPHAGE_STIMULATING_PROTEIN_RECEPTOR,MACROPHAGE-STIMULATING PROTEIN RECEPTOR,2,-0.5955141252135565,1.0,0.0,0.0,enriched_in_worsen
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_7,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 7,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_MU_TYPE_OPIOID_RECEPTOR,MU-TYPE OPIOID RECEPTOR,2,-1.012104579926311,1.0,0.0,0.0,enriched_in_worsen
rawtok_MYOSIN_LIGHT_CHAIN_KINASE_FAMILY_MEMBER_4,MYOSIN LIGHT CHAIN KINASE FAMILY MEMBER 4,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_PHOSPHATIDYLINOSITOL_4_KINASE_BETA,PHOSPHATIDYLINOSITOL 4-KINASE BETA,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_PROTEIN_KINASE_C_DELTA_TYPE,PROTEIN KINASE C DELTA TYPE,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_PROTEIN_TYROSINE_KINASE_2_BETA,PROTEIN-TYROSINE KINASE 2-BETA,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_RIBOSOMAL_PROTEIN_S6_KINASE_ALPHA_3,RIBOSOMAL PROTEIN S6 KINASE ALPHA-3,2,-0.5955141252135565,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_PROTEIN_KINASE_ATM,SERINE-PROTEIN KINASE ATM,2,-0.5955141252135565,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_36,SERINE/THREONINE-PROTEIN KINASE 36,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_CHK2,SERINE/THREONINE-PROTEIN KINASE CHK2,2,-0.5955141252135565,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_DCLK3,SERINE/THREONINE-PROTEIN KINASE DCLK3,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_MARK2,SERINE/THREONINE-PROTEIN KINASE MARK2,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_MRCK_BETA,SERINE/THREONINE-PROTEIN KINASE MRCK BETA,2,-0.5955141252135565,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_NLK,SERINE/THREONINE-PROTEIN KINASE NLK,2,-0.5955141252135565,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_RIO2,SERINE/THREONINE-PROTEIN KINASE RIO2,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_SIK1,SERINE/THREONINE-PROTEIN KINASE SIK1,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_TYROSINE_PROTEIN_KINASE_BTK,TYROSINE-PROTEIN KINASE BTK,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_TYROSINE_PROTEIN_KINASE_FER,TYROSINE-PROTEIN KINASE FER,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
rawtok_TYROSINE_PROTEIN_KINASE_FES_FPS,TYROSINE-PROTEIN KINASE FES/FPS,1,-0.8598223419517398,1.0,0.0,0.0,enriched_in_worsen
