drug,n_rows,Y_mean,Y_std,Y_iqr,Y_median,AUC_mean,AUC_std,curve_RMSE_mean,curve_RMSE_std,Z_SCORE_mean,Z_SCORE_std,Z_SCORE_abs_mean,TCGA_entropy
NVP-TAE684,462,1.0195059554110601,1.2659717323546014,1.1630673811839802,0.749570156782144,0.8117763407729938,0.14240905502320222,0.08178331937172775,0.04716226856243622,0.0045259162303665,0.9787380425515692,0.7690870680628273,4.0890241004665855
CRIZOTINIB,1380,2.888901207544965,1.9723439477987554,1.7829909999999998,2.5865678390323263,0.8896331695232059,0.09036811305389683,0.08674619529085874,0.032837098232308196,0.029671146814404435,1.0409842987117757,0.7992724182825484,4.4190702285226635
SARACATINIB,859,2.1798795683356045,1.7462149223558252,1.717970444873786,1.7644126075303999,0.8816600870388728,0.11723909580016571,0.0679648115183246,0.0452250749665792,-0.002529942408376936,1.0316223173543146,0.8188095863874345,4.0741282945320965
S-TRITYL-L-CYSTEINE,187,1.2369436042780748,1.519147664042282,2.192175,1.037193,0.7898837914438501,0.13248265861595204,0.09775902673796791,0.04834801910336877,-0.05002067379679145,1.0043947241594027,0.8376003743315508,4.075619207490912
Z-LLNLE-CHO,187,0.8467488770053476,1.2646681445530903,1.7326365,0.428325,0.8332115775401069,0.09469134316218247,0.1290840320855615,0.0568768879024871,0.018285588235294113,1.005760652366258,0.8277673422459892,4.075619207490912
DASATINIB,1302,1.1431373401404432,2.2526339675894054,2.4209525063261945,0.8336207612304625,0.7733284018796434,0.2105286054610723,0.0976878312236287,0.04895923972523351,0.06339850914205346,1.0287527164343166,0.8053018677918425,4.424140735242424
GNF-2,187,2.277813139037433,0.9715367394604336,0.8594484999999998,2.41418,0.9642593582887702,0.06411941391464862,0.061924962566844925,0.046139600719589106,-0.12529801069518715,1.164249079756289,0.7467618181818182,4.075619207490912
CGP-60474,187,-2.064004502673797,1.1774823291164767,1.4664484999999998,-2.225883,0.772991486631016,0.11942242755105362,0.11461939572192514,0.04644481670344664,0.019343834224598934,0.9380547973780633,0.7401061871657753,4.075619207490912
CGP-082996,187,2.7991045187165775,1.1006299481840658,1.726486,2.803551,0.931607064171123,0.055142811713037594,0.070904064171123,0.05023021254663104,0.008976705882352947,1.0170050931401073,0.8624348235294118,4.075619207490912
A-770041,187,2.168389363636363,1.8192284102843037,2.426959,2.719535,0.8603765882352942,0.1811403831551605,0.08210053475935829,0.05274517730522675,0.034851631016042786,1.022744714610308,0.8278460267379679,4.072687408101518
WH-4-023,184,2.2544747445652176,2.1275666746192825,2.108612,2.8780835,0.8570954673913043,0.21837639854294946,0.0921534891304348,0.05855372192740436,0.047248701086956515,1.01587774372508,0.7681818423913044,4.077191473852804
WZ-1-84,187,3.8879128556149736,0.9991342184740916,1.2186955,3.9621,0.951045898395722,0.058246021205710465,0.06428682352941177,0.04428704003801683,0.07627328877005347,0.9576335858375016,0.7393368716577541,4.075619207490912
BI-2536,975,511.5643304965063,15702.287379353633,2.6488931839492613,-0.14028,0.6847528744763409,0.2026299265834554,0.11838529172714078,0.057231311462507574,0.052461840348330915,1.0206742076790014,0.8521709579100145,4.430985793651439
BMS-536924,1215,2.1812884485596706,1.3522948160486807,1.72552,2.246782,0.8653785810699589,0.11189545410991632,0.06860044609053498,0.03851047039196904,0.08450257777777778,0.9991321671951594,0.8010592,4.426756041973139
BMS-509744,188,3.041585015957447,1.1398965744144378,1.638989,2.9769829999999997,0.9046016861702129,0.07433396174853413,0.0676361755319149,0.04113479909705552,0.061656792553191474,1.0578156007680306,0.8711085265957446,4.076831255219764
CMK,187,2.1890961497326207,1.2476637020455597,1.8234775000000003,2.16179,0.9059813368983957,0.07542252038100059,0.08505640106951871,0.04650751553052635,0.05220743315508022,1.030614716505363,0.8489577219251336,4.075619207490912
PYRIMETHAMINE,467,3.2150761410928994,1.6353750471598225,2.0661504349882542,2.851811,0.9119723311497764,0.12075796293282941,0.0870117807486631,0.05551522184156645,-0.029766513368983952,0.9537711664998686,0.7850303208556151,4.029708590924731
JW-7-52-1,186,-1.5719052473118278,1.8440737844114539,2.74736275,-1.683551,0.6216520537634409,0.23183165210841253,0.12325189247311828,0.05512051086776601,0.00656794086021506,0.9933827544340801,0.8132009946236558,4.071736297261242
A-443654,187,-0.7148136042780748,1.4196828945384148,1.7839509999999998,-0.960912,0.7593247486631016,0.14085727141771184,0.09024251871657755,0.04216019351738124,-0.012293796791443854,1.0161981171761467,0.7903228449197862,4.075619207490912
GW843682X,186,-2.4858627365591395,1.8283759299245936,2.7707835000000003,-2.9172895,0.6930298333333333,0.19534600934518984,0.11970017204301076,0.05068723442725747,-0.03231483870967742,1.007555217555931,0.8475628494623655,4.087512086251748
ENTINOSTAT,957,7461.105652751641,228334.8796889686,2.0564302245335,1.59741155413513,0.8059399917449576,0.1259217236643542,0.0891592100591716,0.04028455558677491,0.008808066568047336,0.9970664461945672,0.8083884659763313,4.40451823701307
PARTHENOLIDE,427,2.5171888790927763,1.1508561511433473,1.3528435186216323,2.253611382805825,0.8893734989832897,0.07978589219375436,0.07739870430107526,0.05233604004501268,0.022172623655913985,1.025544800931126,0.8676780645161292,4.044838138804531
GSK319347A,187,3.880299780748663,0.6178349533375243,0.8340380000000005,3.952955,0.9789445721925134,0.01332897413870213,0.05854838502673796,0.03613761077072679,-0.008631994652406402,1.0315147380995409,0.8384626898395723,4.071259994387898
TGX221,186,3.9509436720430102,1.1446051473796093,1.2380549999999992,4.235628,0.9480721451612901,0.08098084946224918,0.07827578494623656,0.06336750045633197,0.05306376344086019,1.0037097744575252,0.7513480107526881,4.06918934855174
BORTEZOMIB,1370,-2.546625072402799,2.650738715025774,5.108162453787637,-2.4661785,0.6119010285416859,0.18232566527568833,0.1348378633802817,0.04307560140353342,0.03216731126760563,1.0364822064633743,0.7668973028169014,4.417682316281848
XMD8-85,185,2.6905171567567567,1.2264864673464348,1.7018570000000002,2.531747,0.8937496648648647,0.07773848169235573,0.07201349189189189,0.04764976034032515,0.035450978378378385,1.047827887541812,0.8544940594594594,4.059219206435135
SELICICLIB,185,3.8941409945945944,0.9856108423326684,1.4488510000000003,3.762566,0.9333749027027026,0.04553360392051657,0.0669346810810811,0.04402930739897696,-0.07259760000000001,1.0439943234012297,0.8838715243243244,4.0495114010482425
SALUBRINAL,186,3.577126747311828,1.0917576967454181,1.5825412499999998,3.4737644999999997,0.9115842043010753,0.06309941544990887,0.06437966666666667,0.04078705902223011,0.003031532258064513,1.0114929020755579,0.8353097473118279,4.060449279167652
LAPATINIB,1354,4.136583636148421,26.212360808565553,2.1240201693563328,2.9664105,0.9128816760122189,0.1007025900448361,0.08912232492997199,0.04393727948384216,0.036131128851540614,1.0256237308608143,0.7846584649859945,4.415054763253786
GSK269962A,822,2.220629911192214,1.3739280624330592,1.7457499999999997,2.3327245,0.8865947250608271,0.10963766693263323,0.08382702919708031,0.05400793753636733,0.06460981508515815,0.9720541711121047,0.7600904549878347,4.34267007103163
DOXORUBICIN,1277,-1.2209120743074158,1.5724280224235772,2.570562418038489,-1.18446,0.5393288436835062,0.19843196150894718,0.08013161105527639,0.04000330725895553,0.04951561708542713,1.0137716302680733,0.8076026281407035,4.430054367985148
ETOPOSIDE,771,1.576006920082207,1.7237970323190688,1.9322306033856793,1.30461072597915,0.7534989804791699,0.22080160138121183,0.0890479368635438,0.04294084471753193,0.051885338085539696,1.0060837058981782,0.8221994114052954,4.441977212467415
GEMCITABINE,1748,178217512646.23157,7448975234926.964,3.9710044594801555,-2.259433,0.6035291498110119,0.28487750816296453,0.1163000580858086,0.05905888015921982,0.03972756171617161,1.0041335848077844,0.8304462627062706,4.430218317699625
MITOMYCIN-C,755,5.860282481694778,167.26745085418892,1.817452730273823,0.15101298150843,0.5034124367727838,0.2303593150751945,0.07708712139917696,0.03797741766256878,0.016617555555555566,1.003132019627107,0.8199577983539096,4.446920433025565
VINORELBINE,1297,-2.54124968785989,2.321389652892722,4.698161173591813,-2.8426964999999997,0.7231766810152177,0.16008116855498555,0.10111319783464567,0.041803715838341964,0.05102561515748031,1.0260443728360988,0.8314664242125984,4.431648190553108
NSC-87877,491,4.950616425661915,0.7798097609237651,0.9735910000000008,5.094089,0.9705462871690428,0.027873678251174868,0.06808657026476578,0.046350709044888735,0.053942700610997964,0.9196977902975754,0.7272558900203666,4.43838959599522
BICALUTAMIDE,1299,56.460393941485414,1726.691010220164,1.8631059999999997,3.687867,1.0051983282701227,0.09352185077114636,0.054328216165413536,0.03450482027833979,0.03341121616541353,1.0171569615471623,0.7801803082706767,4.402611555613181
QS11,488,3.27755256147541,1.4363043728810365,2.462287,3.1306925000000003,0.9009962909836066,0.088168966986296,0.06947982786885246,0.0425079965940349,-0.008367909836065572,1.0327648066839201,0.8776586106557378,4.444188620797679
CP466722,504,2.407441638888889,1.2367446486996776,1.6258515,2.2619415,0.8019030476190476,0.11720683681211054,0.08254386507936508,0.053642417272792994,0.019586257936507943,0.9888717777987678,0.7783815000000001,4.42582099585521
MIDOSTAURIN,777,0.18415980379679492,1.0896668729978942,1.110348865100699,0.312549,0.8231589053510969,0.12068301874225777,0.08896128397565922,0.0502467536564167,0.046543192697768763,1.0210816945728294,0.8398039634888439,4.439803171791016
CHIR-99021,1351,3.5172749277628217,1.299101880470934,1.63641386050741,3.475492,1.0083876503289437,0.1841618251744196,0.0693271344383057,0.05323084879617864,0.0604205635359116,1.0129841100480677,0.8239949981583795,4.410330180638235
PONATINIB,1176,1.1635261468783764,1.5608863568944025,1.5225213617644178,1.193133607820814,0.8322896269952766,0.132015033736056,0.0694402775510204,0.041958687442705214,0.023707179591836727,1.0325257059105455,0.7598157142857143,4.4389158162963795
AZD6482,1406,2.1701059103099873,1.4263190833919641,2.133393963986185,2.12261093860708,0.8674529722945646,0.11104250232798532,0.08640984422560428,0.05720249439172396,0.0011937278424350862,1.0096315293615499,0.8026160859444942,4.394790980586744
JNK-9L,491,-0.25755621181262733,1.0656455671385283,1.15105,-0.454284,0.6202879674134418,0.13264153035980386,0.12921686761710796,0.042467696180633605,0.01358826272912425,0.9977140844959553,0.7357210692464359,4.439019607520085
PF-562271,765,34079.89132458099,926866.1307811202,1.4683560393671848,1.99902598133806,0.8980176695109215,0.08251690543262391,0.08327252795031055,0.05462459438071861,0.00385701449275363,1.0172342348058359,0.8198720124223603,4.442692616157606
HG6-64-1,491,1.0284816598778004,1.723256480735074,2.3377205,0.843106,0.7594796782077393,0.1780154570545293,0.09822525050916496,0.05377275929858962,0.023713975560081466,1.045367765011478,0.8321917107942973,4.439842537273371
JQ1,1511,1.4264802289874257,1.835212290861678,2.623309,1.704474,0.8344105373924552,0.1615958819588606,0.08336706221045664,0.04438366277665267,0.02367321442753145,1.0240995695697526,0.800629211780278,4.428543292454683
JQ12,489,1.1971736666666666,1.6123101861643883,2.252888,1.092182,0.7792278486707567,0.15981785303995552,0.09903749079754601,0.05657295739154015,-0.00531124335378324,0.977686144989842,0.8000038159509202,4.442705148493236
DMOG,490,6.396460842857143,1.4780366189868046,2.0292547499999998,6.408383499999999,0.6130745510204081,0.19426880392077425,0.10021638775510204,0.046870259281785204,0.05343094489795918,1.0368153279254233,0.834777993877551,4.445638207226841
FTI-277,493,2.055299032454361,0.7685688811007946,0.9689349999999999,2.108224,0.9665197464503043,0.030874085633190527,0.06894307707910749,0.0519198598897736,0.025633123732251514,1.0032658613107497,0.7797072819472616,4.439803171791016
OSU-03012,486,1.9282735267489712,1.261588105968519,1.36976225,1.7934554999999999,0.7495094855967078,0.12701855468758286,0.14593993004115227,0.05305729875357418,0.0007810349794238724,1.0030638641500993,0.7406655740740742,4.449394103691714
SHIKONIN,487,0.12869391991786452,1.3621392334368079,1.5760225,0.038565,0.5112253552361397,0.1813764244604255,0.1639320410677618,0.04588740454484768,0.01992022587268994,1.026980845236074,0.7667031909650924,4.445015625321747
AKT INHIBITOR VIII,994,2.379130518108652,1.2424815999748968,1.586309,2.4213475,0.889033309859155,0.11270405325342484,0.08121182494969818,0.05102104658832783,-0.004735250503018115,0.9962765999095087,0.7948848601609657,4.436286076246264
EMBELIN,724,3.1466530481283033,1.6617746861727332,1.5386887818292103,2.891331,0.8598066446021893,0.17084277502266482,0.10492649897750511,0.04955362265694347,0.005629556237218821,1.0039194792578383,0.783088055214724,4.445915726304787
FH535,485,1.9516541072164948,1.2455542209524795,1.3717080000000001,1.822573,0.6693503030927834,0.14750718492967368,0.10824921443298971,0.04581733539946225,-0.025178847422680405,1.0208505661140546,0.753411181443299,4.442165529652801
PAC-1,755,2.762908593864582,1.9219476962881226,2.133448,2.790544588805255,0.9972988957566719,0.18195501540614456,0.09212570270270269,0.05517593514851844,0.025918808731808726,1.0169054169472904,0.878004550935551,4.449100520276328
IPA-3,486,4.083297757201646,1.5869629308146025,2.6701852499999994,3.780866,0.8716918950617283,0.10993668831957584,0.1148948683127572,0.06447814145305644,0.0355272818930041,1.0062168738017516,0.859532512345679,4.449110090769276
GSK650394,765,3.3748931784124134,2.1808386356932266,2.1541881932186997,3.08111038000371,0.8988163797785387,0.14384363824540616,0.10892176397515528,0.06019380596036414,0.031016728778467905,1.0106514614169222,0.8434969233954451,4.436846519213919
BAY-61-3606,487,2.267936714579055,1.4919713793673508,2.0336715,2.101652,0.8435732135523614,0.11922000271165686,0.08243787474332648,0.05112403318448246,0.0757057412731006,1.0052938138928076,0.8061705420944558,4.442900377367558
5-FLUOROURACIL,1291,3.8028013304632395,1.8642301199619564,2.6220717943431375,3.707835,0.8838163272281278,0.14579786293563626,0.08789462669245647,0.0381811002257795,0.05331980947775628,0.9892535566506363,0.798985834622824,4.42825635055191
THAPSIGARGIN,478,-3.8611138033472803,2.070381524425771,2.5687514999999994,-4.3419205000000005,0.42740730334728033,0.25630767543685223,0.1335859790794979,0.057395243851700875,0.021931951882845205,1.0397286929966227,0.8174230899581589,4.455998762176065
OBATOCLAX MESYLATE,935,-0.17229403957219247,1.6390452584434616,2.0922665,-0.044179,0.5284772705882353,0.2340237340225772,0.12866085133689842,0.054722646409530104,0.03692008663101603,1.0092735664073906,0.7824530385026738,4.447709741728235
BMS-754807,1670,1.615296247008243,1.9042358336123322,2.0355229657033096,1.386444,0.8205938658815516,0.1625583087530358,0.09773103784860557,0.057870202874349824,0.04930602191235059,1.0118812259206953,0.7949461374501992,4.4351018557547786
LINSITINIB,1627,252.53809963786526,8943.121096750794,2.2187324999999998,3.504652,0.929262619126738,0.0955835412686965,0.09206359014778324,0.05000505320385744,0.057680209852216745,0.9899678615029321,0.7742007655172414,4.435596214965457
BEXAROTENE,1054,1.6617176309229902e+39,3.7637078974916764e+40,1.6192250000000001,3.544227,0.9913726994829605,0.1488223631138145,0.08583666182572615,0.06220858980990454,0.023744740663900418,1.0034554771565427,0.787254815352697,4.445900861999013
BLEOMYCIN,892,2.13203409529148,1.968231244601696,2.7584605,2.2582875,0.717956812780269,0.29231897473297164,0.08728638004484304,0.05215569759854819,0.004013114349775778,0.9903804962800893,0.7980981838565023,4.444027607062176
LFM-A13,489,4.647473345603272,0.7302233730786055,0.9777870000000002,4.675777,0.9630158711656441,0.02545360458365358,0.09042317177914111,0.062401650503103,0.040661089979550105,1.0137597028245997,0.8057739897750512,4.445915726304787
GW-2580,505,5.3199875009900985,0.7149252878657247,0.8220879999999999,5.345215,0.9748811207920792,0.037489201740423736,0.0427508099009901,0.026848100577185712,0.0532878891089109,1.009343976944537,0.7185402970297029,4.4350983433792335
LUMINESPIB,1012,-2.4115051946640316,1.8143659832290282,2.26357275,-2.807738,0.6827211986166009,0.16158754737660946,0.13048819565217393,0.04208389624326751,0.05251599308300394,1.0315501745860045,0.7977467460474308,4.440085839577804
PHENFORMIN,495,7.486348424242425,1.7981112548545084,2.070715,7.607732,0.7338231838383839,0.19637517889313885,0.1212408808080808,0.05873740191207389,-0.05823504242424241,0.9744509838735418,0.7614974262626262,4.43285727661545
BRYOSTATIN 1,488,-2.908422743852459,0.8675628277612774,1.1715097500000002,-2.7894935,0.9614982274590163,0.03387867877166492,0.07972992418032787,0.053405396777107816,-0.009758370901639352,1.0232153488258675,0.8247930963114756,4.449130828903893
PAZOPANIB,1122,3.955430755388258,2.279750999905445,2.2099062385851904,3.586386176647048,0.9598013797429612,0.14815333394270166,0.08613680824742269,0.055479480708569125,0.057788835051546396,1.0144764426024286,0.8121323649484535,4.449983532737198
DACINOSTAT,770,-1.6576199743163111,1.7641284311780667,3.284690462876159,-1.9890599999999998,0.5289068248259289,0.1498842920960906,0.10541290573770491,0.04265407162463479,0.0210386475409836,1.025768660825346,0.7623785655737705,4.449130828903893
EPOTHILONE B,484,-4.902929646694215,1.8824803625683018,2.5558657500000006,-5.0733785000000005,0.652490873966942,0.21518787027960637,0.09592735330578511,0.04342939663104014,0.017852388429752074,1.0184513984014014,0.8204217644628098,4.454715976513757
GSK1904529A,1281,3.2624660907721044,1.5396830254106526,2.137718,2.94916,0.9814002552279881,0.13797206554132507,0.07335954724409449,0.03976682823502055,0.035025434055118106,1.0294034556279392,0.8015357253937008,4.437011181845748
BMS-345541,1272,2.8906702989561737,1.3045325499156655,1.6536849264094,2.756515,0.8928288932064171,0.126740497662889,0.11264486030150754,0.04648762227172361,0.023331455276381908,1.015948060286013,0.7952196201005025,4.421560408686928
TIPIFARNIB,773,1.3614147030212929,1.5508738268840698,2.053504795104728,1.0962665,0.7081260935453905,0.1861885010211826,0.13114932515337424,0.05583596742628263,0.01084482208588958,1.0057743577534943,0.7751043067484662,4.445915726304787
AVAGACESTAT,1540,4.388109124025974,1.076332117279359,1.3324380000000007,4.4831520000000005,0.9693442493506493,0.025283144701871176,0.06649738376623376,0.04047028418140059,0.043000368181818176,1.0199950931765107,0.7923270136363637,4.4334042574305155
RUXOLITINIB,1540,1.066187424717255e+48,3.423441322687733e+49,1.2609324999999996,4.429041,1.002212177759086,0.15379927705991828,0.068706241,0.03765511803081799,0.040344182000000006,1.0560069644725472,0.731811782,4.422955847267043
AS601245,486,2.2560335514403294,1.1523949835762546,1.3813252500000002,2.1249900000000004,0.8580290082304527,0.08862324446654642,0.11363465637860082,0.0532981069773815,0.030465541152263378,1.0045533203081976,0.7833639197530865,4.44640201904867
ISPINESIB MESYLATE,501,-1.9164906866267466,1.721468310416765,2.758128,-2.035372,0.8257612055888224,0.14402768605452096,0.09863128143712574,0.05766037218293544,0.02885273053892216,0.9932916949717667,0.8451688702594811,4.4249081290265995
TL-2-105,504,3.8834759345238092,1.3377758327666138,1.5600500000000004,4.1765325,0.9359668571428572,0.09523236763382795,0.057833968253968256,0.03527494925182277,0.017898097222222225,1.0191214166026907,0.7762336289682541,4.426468858716043
AT-7519,1117,1.4881120972091495,1.991992344534826,2.238972130517812,0.8706990386966085,0.7312747538023701,0.1810047817872151,0.12465154655870445,0.059173438674465326,0.019905311740890684,1.0064799214027633,0.8180606275303645,4.433674464995217
TAK-715,757,43.689364244325624,899.2954104111244,1.662274,4.182805,1.0080805296173758,0.1662463038073012,0.07369455643564356,0.04381346323807296,0.02733312277227722,0.9747204288888046,0.7869507504950495,4.424980738211554
BX-912,793,2.1590760363628587,1.832829866381874,2.546333113320077,2.0373667425545,0.8231545943400665,0.1488769791792857,0.08662199207920793,0.05235137013344678,0.0527729108910891,1.010084980618399,0.7776327168316831,4.424980738211554
ZSTK474,501,0.8532350558882236,1.6257168859884692,2.007627,0.819352,0.7360175608782435,0.18433152315815868,0.10438241317365271,0.055176314460490615,0.00957335728542916,0.9729557434729794,0.7620305588822355,4.43290217480787
AS605240,499,2.869395284569138,1.6055605292225044,1.8745860000000003,2.932524,0.8182815651302605,0.1647688795696439,0.10827672545090179,0.06130078029803016,-0.0693931743486974,1.026771494045307,0.7708384168336674,4.432792467685249
GENENTECH CPD 10,502,2.3379469482071715,1.639893144465705,2.180247,2.216067,0.8205061633466135,0.14944867216899274,0.11602204581673307,0.06329179354689773,0.030202561752988043,0.9923607843584863,0.7900896454183267,4.428406322836097
GSK1070916,750,1.1576543431175412,1.9010558559683044,2.283370506710165,1.00420764966266,0.7777620360005025,0.21851274793438888,0.11883786335403729,0.07362456277731919,-0.0015122443064182298,1.001303836770331,0.7302598426501036,4.441474800430569
ENZASTAURIN,501,3.2716922694610777,1.5566897693164161,2.194658,3.275634,0.8498787245508982,0.13641247306282506,0.10984912974051896,0.06141889305255455,0.020208958083832333,0.9980189340366445,0.8135088582834332,4.430472779350654
GSK429286A,766,116.16354600442095,1966.0623064294393,1.5923429999999996,4.952342,0.9678405018521032,0.10303944254534482,0.06413654653465345,0.05027579555180976,0.057919168316831686,1.0262796304996438,0.8016470574257426,4.424980738211554
FMK,451,4.988906006651884,0.8558082893272807,1.0870639999999998,5.118427,0.9659868736141907,0.029068987406581454,0.05924211751662971,0.04551241997386286,0.023503286031042125,1.0268050652658318,0.8092730997782706,4.362804658643977
QL-XII-47,551,1.3474131524500907,1.6497526579425972,2.2013655,1.139898,0.7169824047186932,0.17493692390978968,0.11135598003629764,0.05664538929606925,0.021284980036297637,0.9987826041154363,0.7967691941923775,4.422380897897535
IC-87114,509,5.152367206286837,0.8829597617492086,0.8481589999999999,5.271077,0.9667890451866404,0.05741116968430105,0.07380155599214146,0.040473633530883193,0.04456955206286838,1.0139470592074658,0.6902046365422397,4.4326478473372015
IDELALISIB,1073,5.786598537132944,28.114262344579714,1.627351,4.483021,0.962435097220322,0.1240172031009499,0.059093494047619044,0.04295410477180824,0.04360718849206349,0.9801770290979251,0.7434066805555556,4.423599717377659
UNC0638,1435,3.5646499874564457,1.4853621838114337,2.3494975,3.387331,0.8642930564459931,0.11994914652056866,0.10213234285714286,0.0625068206758009,0.054820054355400695,1.0069156637129293,0.8094595888501741,4.439000856343032
CABOZANTINIB,778,3.016770292565013,1.715567586066277,1.8327900000000001,2.896823,0.9466511796582531,0.14240299059536632,0.05547213636363636,0.03675455557532677,0.07138337154150198,0.9821549631330362,0.7439149644268774,4.433601755403542
WZ3105,505,0.3136647168316832,1.8687504614748087,2.578445,0.055251,0.8004174613861387,0.1745699263721628,0.09052792277227723,0.04984677739798494,0.03541055049504952,1.0133429141553199,0.8247162574257426,4.4350983433792335
XMD14-99,505,4.417061954455445,0.9787745059252789,1.1668759999999998,4.662518,0.9650566653465347,0.03733251135809735,0.045203328712871284,0.028702493286195792,0.06979795643564354,0.9840516364146786,0.7810066811881188,4.4350983433792335
QUIZARTINIB,783,2.4324313770270036,1.4149500968260054,1.0222317500000002,2.4378254999999998,1.0348658634525258,0.20797760762057976,0.044236651485148513,0.02440398962953832,0.05775389108910891,0.9310678375076036,0.6471533128712871,4.4350983433792335
CP724714,505,4.248209144554456,0.9880643164225638,1.0758230000000002,4.37504,0.9588532316831683,0.06328565641574725,0.04433097821782178,0.02603581167295851,0.009099726732673266,1.0380680214904876,0.7349304475247525,4.4350983433792335
JW-7-24-1,505,1.6959533742574255,1.479884254836959,1.5411549999999998,1.668151,0.764781095049505,0.14996580517899077,0.10689262970297031,0.047553070271451205,0.07682885346534654,0.977131676388778,0.7297387821782177,4.4350983433792335
NPK76-II-72-1,506,2.999010934782609,1.689580033964265,2.4741557500000004,3.1292615,0.8701512865612648,0.13923714600589962,0.0635393675889328,0.03910216310928344,0.09143319960474307,0.9840249112494717,0.809035381422925,4.433601755403542
STF-62247,503,4.418227803180915,0.9470529984752717,1.0955390000000005,4.614763,0.965646902584493,0.035082504436972174,0.04709650298210736,0.028209541015943,0.06384091053677932,0.9767797409139617,0.7664598966202784,4.4344214855845046
NG-25,558,2.7406706272401435,1.7417480245364931,1.9398555,2.754926,0.85799120609319,0.16111618452018855,0.09239770609318995,0.05462288962755041,0.07179599283154121,1.0268967790998107,0.7459789462365591,4.425060863957822
TL-1-85,507,3.2579865147928992,1.750127654841496,2.0523455,3.479215,0.8922629309664694,0.15369872136517498,0.06764302564102564,0.04533512344045179,0.06279085009861934,1.0637574972024908,0.7815264437869822,4.432760724105638
VX-11E,1030,2.672105198058252,1.493183866940249,1.9207379999999998,2.7737610000000004,0.8822018009708738,0.110519344470991,0.06608247961165048,0.036976611915471615,-0.04361014466019418,1.0419867211756577,0.822252486407767,4.4272886411067
FR-180204,507,4.929164990138068,0.8848380998379309,1.1532080000000011,5.068589,0.9615889546351085,0.03905051001174991,0.04808437475345167,0.02979016556982294,0.035496873767258415,1.0231143237051372,0.7966327475345166,4.432760724105638
ACY-1215,790,2.3251946433839343,1.7373427321611923,1.9156274025019677,2.1583595,0.7964088190996639,0.18280669569178018,0.08983375,0.03543089388330279,0.118300052734375,1.0505973265984505,0.820500412109375,4.439194823813496
TUBASTATIN A,503,4.497881508946322,1.3119657046523268,1.8323990000000001,4.823397,0.9331886182902585,0.0734019490144841,0.05210622067594434,0.03127613741456434,0.08721759642147117,0.980706281350154,0.8197779105367793,4.4344214855845046
ZIBOTENTAN,781,5.490541572095586,0.618470032598893,0.6923202499999999,5.514260999999999,0.9662989021810073,0.03563615013418202,0.05087165877712032,0.025868291842595495,0.016993195266272174,1.059682755851659,0.7927642642998027,4.432760724105638
