feature,raw_token,n_improve_with_token,n_worsen_with_token,n_drugs_supporting_token,support_rate_total,support_rate_improve,support_rate_worsen,odds_ratio,log2_odds_ratio,effect_direction,pvalue,fdr_bh,minus_log10_p,lodo_runs_evaluable,lodo_median_log2_odds_ratio,lodo_min_log2_odds_ratio,lodo_max_log2_odds_ratio,lodo_majority_direction,lodo_sign_consistency,lodo_p_lt_0_05_rate,thresholds_evaluable,threshold_median_log2_odds_ratio,threshold_sign_consistency,threshold_p_lt_0_05_rate,threshold_fdr_lt_0_10_rate,threshold_majority_direction,consensus_score
rawtok_ADENOSINE_RECEPTOR_A3,ADENOSINE RECEPTOR A3,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0,2,1.1662169457313838,1.0,0.0,0.0,enriched_in_improve,4.241071350515052
rawtok_CYCLIN_DEPENDENT_KINASE_16,CYCLIN-DEPENDENT KINASE 16,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0,2,0.7663662709742993,1.0,0.0,0.0,enriched_in_improve,4.241071350515052
rawtok_CYCLIN_DEPENDENT_KINASE_7,CYCLIN-DEPENDENT KINASE 7,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0,2,0.7663662709742993,1.0,0.0,0.0,enriched_in_improve,4.241071350515052
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_1,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0,2,0.8840475807210322,1.0,0.0,0.0,enriched_in_improve,4.241071350515052
rawtok_DUAL_SPECIFICITY_TYROSINE_PHOSPHORYLATION_REGULATED_KINASE_1B,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE 1B,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0,2,0.7663662709742993,1.0,0.0,0.0,enriched_in_improve,4.241071350515052
rawtok_LEUCINE_RICH_REPEAT_SERINE_THREONINE_PROTEIN_KINASE_2,LEUCINE-RICH REPEAT SERINE/THREONINE-PROTEIN KINASE 2,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0,2,0.7663662709742993,1.0,0.0,0.0,enriched_in_improve,4.241071350515052
rawtok_MUSCARINIC_ACETYLCHOLINE_RECEPTOR_M2,MUSCARINIC ACETYLCHOLINE RECEPTOR M2,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0,2,1.1662169457313838,1.0,0.0,0.0,enriched_in_improve,4.241071350515052
rawtok_RECEPTOR_INTERACTING_SERINE_THREONINE_PROTEIN_KINASE_2,RECEPTOR-INTERACTING SERINE/THREONINE-PROTEIN KINASE 2,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0,2,0.7049378970815326,1.0,0.0,0.0,enriched_in_improve,4.241071350515052
rawtok_SERINE_THREONINE_PROTEIN_KINASE_10,SERINE/THREONINE-PROTEIN KINASE 10,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0,2,1.1595551651199414,1.0,0.0,0.0,enriched_in_improve,4.241071350515052
rawtok_SERINE_THREONINE_PROTEIN_KINASE_B_RAF,SERINE/THREONINE-PROTEIN KINASE B-RAF,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0,2,0.9804454814804419,1.0,0.0,0.0,enriched_in_improve,4.241071350515052
rawtok_STE20_LIKE_SERINE_THREONINE_PROTEIN_KINASE,STE20-LIKE SERINE/THREONINE-PROTEIN KINASE,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0,2,0.8840475807210322,1.0,0.0,0.0,enriched_in_improve,4.241071350515052
rawtok_TYROSINE_PROTEIN_KINASE_ABL1,TYROSINE-PROTEIN KINASE ABL1,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0,2,0.8840475807210322,1.0,0.0,0.0,enriched_in_improve,4.241071350515052
rawtok_TYROSINE_PROTEIN_KINASE_BLK,TYROSINE-PROTEIN KINASE BLK,3,1,4,0.1111111111111111,0.15,0.0625,2.6470588235294117,1.0473057147783569,enriched_in_improve,0.6129360835243187,1.0,0.2125848109953883,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0,2,0.7049378970815326,1.0,0.0,0.0,enriched_in_improve,4.241071350515052
rawtok_BROMODOMAIN_CONTAINING_PROTEIN_4,BROMODOMAIN-CONTAINING PROTEIN 4,1,2,3,0.08333333333333333,0.05,0.125,0.3684210526315789,-1.1643868179008823,enriched_in_worsen,0.5742296918767505,1.0,0.24091435505643902,36,-1.0884379646675837,-2.7493493186220386,-0.42742122373467617,enriched_in_worsen,1.0,0.0,2,-1.012104579926311,1.0,0.0,0.0,enriched_in_worsen,4.209320024269754
rawtok_MU_TYPE_OPIOID_RECEPTOR,MU-TYPE OPIOID RECEPTOR,1,2,3,0.08333333333333333,0.05,0.125,0.3684210526315789,-1.1643868179008823,enriched_in_worsen,0.5742296918767505,1.0,0.24091435505643902,36,-1.0884379646675837,-2.7493493186220386,-0.42742122373467617,enriched_in_worsen,1.0,0.0,2,-1.012104579926311,1.0,0.0,0.0,enriched_in_worsen,4.209320024269754
rawtok_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_ALPHA,PLATELET-DERIVED GROWTH FACTOR RECEPTOR ALPHA,1,2,3,0.08333333333333333,0.05,0.125,0.3684210526315789,-1.1643868179008823,enriched_in_worsen,0.5742296918767505,1.0,0.24091435505643902,36,-1.0884379646675837,-2.7493493186220386,-0.42742122373467617,enriched_in_worsen,1.0,0.0,2,-1.104710285757693,1.0,0.0,0.0,enriched_in_worsen,4.209320024269754
rawtok_2_AND_3_INHIBITOR,2 AND 3 INHIBITOR,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve,4.191125932800092
rawtok_ALPHA_2B_ADRENERGIC_RECEPTOR,ALPHA-2B ADRENERGIC RECEPTOR,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0,2,2.269458967970899,1.0,0.0,0.0,enriched_in_improve,4.191125932800092
rawtok_APOPTOSIS_REGULATOR_BCL_2,APOPTOSIS REGULATOR BCL-2,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0,2,2.269458967970899,1.0,0.0,0.0,enriched_in_improve,4.191125932800092
rawtok_BETA_1_ADRENERGIC_RECEPTOR,BETA-1 ADRENERGIC RECEPTOR,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0,2,2.269458967970899,1.0,0.0,0.0,enriched_in_improve,4.191125932800092
rawtok_CASEIN_KINASE_I_ISOFORM_DELTA,CASEIN KINASE I ISOFORM DELTA,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0,2,2.269458967970899,1.0,0.0,0.0,enriched_in_improve,4.191125932800092
rawtok_EGFR,EGFR,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0,2,2.269458967970899,1.0,0.0,0.0,enriched_in_improve,4.191125932800092
rawtok_EGFR_SIGNALING,EGFR SIGNALING,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0,2,2.269458967970899,1.0,0.0,0.0,enriched_in_improve,4.191125932800092
rawtok_ERK_MAPK_SIGNALING,ERK MAPK SIGNALING,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0,2,1.7209985126506382,1.0,0.0,0.0,enriched_in_improve,4.191125932800092
rawtok_FERROCHELATASE_MITOCHONDRIAL,"FERROCHELATASE, MITOCHONDRIAL",2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0,2,2.269458967970899,1.0,0.0,0.0,enriched_in_improve,4.191125932800092
rawtok_INTERLEUKIN_1_RECEPTOR_ASSOCIATED_KINASE_3,INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 3,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve,4.191125932800092
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_3,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 3,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0,2,1.7209985126506382,1.0,0.0,0.0,enriched_in_improve,4.191125932800092
rawtok_MYOSIN_LIGHT_CHAIN_KINASE_2_SKELETAL_CARDIAC_MUSCLE,"MYOSIN LIGHT CHAIN KINASE 2, SKELETAL/CARDIAC MUSCLE",2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve,4.191125932800092
rawtok_NON_RECEPTOR_TYROSINE_PROTEIN_KINASE_TYK2,NON-RECEPTOR TYROSINE-PROTEIN KINASE TYK2,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve,4.191125932800092
rawtok_NUAK_FAMILY_SNF1_LIKE_KINASE_2,NUAK FAMILY SNF1-LIKE KINASE 2,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve,4.191125932800092
rawtok_PARP1,PARP1,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0,2,1.7209985126506382,1.0,0.0,0.0,enriched_in_improve,4.191125932800092
rawtok_PARP2,PARP2,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0,2,1.7209985126506382,1.0,0.0,0.0,enriched_in_improve,4.191125932800092
rawtok_PARP_1,PARP 1,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve,4.191125932800092
rawtok_PARP_1_2_AND_3_INHIBITOR,"PARP 1, 2 AND 3 INHIBITOR",2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve,4.191125932800092
rawtok_PHOSPHATIDYLINOSITOL_3_KINASE_CATALYTIC_SUBUNIT_TYPE_3,PHOSPHATIDYLINOSITOL 3-KINASE CATALYTIC SUBUNIT TYPE 3,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0,2,2.269458967970899,1.0,0.0,0.0,enriched_in_improve,4.191125932800092
