feature,raw_token,assigned_theme,theme_mapping_status
rawtok_ADRA1B,ADRA1B,UNMAPPED,unmapped
rawtok_ADRB2,ADRB2,UNMAPPED,unmapped
rawtok_BCL2,BCL2,APOPTOSIS_BCL2,mapped
rawtok_GABRA1,GABRA1,UNMAPPED,unmapped
rawtok_PARP1,PARP1,UNMAPPED,unmapped
rawtok_PIK3CB,PIK3CB,PI3K_AKT_MTOR,mapped
rawtok_PTGS1,PTGS1,UNMAPPED,unmapped
rawtok_ADRB1,ADRB1,UNMAPPED,unmapped
rawtok_CDK9,CDK9,UNMAPPED,unmapped
rawtok_CHEK1,CHEK1,PARP_DNA_REPAIR_CHECKPOINT,mapped
rawtok_CHRM2,CHRM2,UNMAPPED,unmapped
rawtok_EPIDERMAL_GROWTH_FACTOR_RECEPTOR,EPIDERMAL GROWTH FACTOR RECEPTOR,ERBB_EGFR_FAMILY_RTK,mapped
rawtok_JAK3,JAK3,UNMAPPED,unmapped
rawtok_PGR,PGR,UNMAPPED,unmapped
rawtok_ADRA2B,ADRA2B,UNMAPPED,unmapped
rawtok_ADRA2C,ADRA2C,UNMAPPED,unmapped
rawtok_AKT2,AKT2,PI3K_AKT_MTOR,mapped
rawtok_AKT3,AKT3,PI3K_AKT_MTOR,mapped
rawtok_BRD4,BRD4,CHROMATIN_EPIGENETIC,mapped
rawtok_CHROMATIN_OTHER,CHROMATIN OTHER,CHROMATIN_EPIGENETIC,mapped
rawtok_DRD3,DRD3,UNMAPPED,unmapped
rawtok_ESR2,ESR2,UNMAPPED,unmapped
rawtok_FGFR2,FGFR2,UNMAPPED,unmapped
rawtok_FGFR3,FGFR3,UNMAPPED,unmapped
rawtok_HDAC8,HDAC8,UNMAPPED,unmapped
rawtok_JAK1,JAK1,UNMAPPED,unmapped
rawtok_KCNH2,KCNH2,ION_CHANNEL_TRANSPORTER,mapped
rawtok_LCK,LCK,SRC_LCK_NONRECEPTOR_TK,mapped
rawtok_MAPK14,MAPK14,JNK_P38_STRESS_MAPK,mapped
rawtok_TOP1,TOP1,UNMAPPED,unmapped
rawtok_TYMS,TYMS,UNMAPPED,unmapped
rawtok_ADRA1D,ADRA1D,UNMAPPED,unmapped
rawtok_CDK4,CDK4,UNMAPPED,unmapped
rawtok_CSF1R,CSF1R,UNMAPPED,unmapped
rawtok_CYTOSKELETON,CYTOSKELETON,UNMAPPED,unmapped
rawtok_GABRA3,GABRA3,UNMAPPED,unmapped
rawtok_GABRA5,GABRA5,UNMAPPED,unmapped
rawtok_METABOLISM,METABOLISM,UNMAPPED,unmapped
rawtok_TYROSINE_PROTEIN_KINASE_LCK,TYROSINE-PROTEIN KINASE LCK,SRC_LCK_NONRECEPTOR_TK,mapped
rawtok_WNT_SIGNALING,WNT SIGNALING,UNMAPPED,unmapped
rawtok_CDK7,CDK7,UNMAPPED,unmapped
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_1,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_GABRA2,GABRA2,UNMAPPED,unmapped
rawtok_GABRG2,GABRG2,UNMAPPED,unmapped
rawtok_HDAC9,HDAC9,UNMAPPED,unmapped
rawtok_HTR2C,HTR2C,UNMAPPED,unmapped
rawtok_HTR7,HTR7,UNMAPPED,unmapped
rawtok_IGF1R,IGF1R,UNMAPPED,unmapped
rawtok_PROTO_ONCOGENE_TYROSINE_PROTEIN_KINASE_RECEPTOR_RET,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE RECEPTOR RET,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped
rawtok_ALK,ALK,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped
rawtok_AURKC,AURKC,UNMAPPED,unmapped
rawtok_CHRM4,CHRM4,UNMAPPED,unmapped
rawtok_DRD4,DRD4,UNMAPPED,unmapped
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_2,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 2,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_EGFR_SIGNALING,EGFR SIGNALING,ERBB_EGFR_FAMILY_RTK,mapped
rawtok_ERBB4,ERBB4,ERBB_EGFR_FAMILY_RTK,mapped
rawtok_GABRB2,GABRB2,UNMAPPED,unmapped
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_KINASE_5,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 5,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_NTRK1,NTRK1,UNMAPPED,unmapped
rawtok_PDGFR,PDGFR,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped
rawtok_PLK1,PLK1,UNMAPPED,unmapped
rawtok_PROTEIN_STABILITY_AND_DEGRADATION,PROTEIN STABILITY AND DEGRADATION,PROTEOSTASIS,mapped
rawtok_RECEPTOR_TYPE_TYROSINE_PROTEIN_KINASE_FLT3,RECEPTOR-TYPE TYROSINE-PROTEIN KINASE FLT3,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped
rawtok_BTK,BTK,UNMAPPED,unmapped
rawtok_CDK5,CDK5,UNMAPPED,unmapped
rawtok_CHRM5,CHRM5,UNMAPPED,unmapped
rawtok_CYP19A1,CYP19A1,UNMAPPED,unmapped
rawtok_HDAC4,HDAC4,UNMAPPED,unmapped
rawtok_HDAC5,HDAC5,UNMAPPED,unmapped
rawtok_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR,HEPATOCYTE GROWTH FACTOR RECEPTOR,MET_HGF_RTK,mapped
rawtok_HSP90AA1,HSP90AA1,UNMAPPED,unmapped
rawtok_IKBKB,IKBKB,UNMAPPED,unmapped
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_KINASE_4,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 4,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_NR1I2,NR1I2,UNMAPPED,unmapped
rawtok_OPRK1,OPRK1,UNMAPPED,unmapped
rawtok_PARP2,PARP2,UNMAPPED,unmapped
rawtok_PROTO_ONCOGENE_TYROSINE_PROTEIN_KINASE_SRC,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE SRC,SRC_LCK_NONRECEPTOR_TK,mapped
rawtok_STE20_LIKE_SERINE_THREONINE_PROTEIN_KINASE,STE20-LIKE SERINE/THREONINE-PROTEIN KINASE,UNMAPPED,unmapped
rawtok_SYK,SYK,SRC_LCK_NONRECEPTOR_TK,mapped
rawtok_TGFBR1,TGFBR1,UNMAPPED,unmapped
rawtok_TUBB1,TUBB1,UNMAPPED,unmapped
rawtok_TYROSINE_PROTEIN_KINASE_ABL1,TYROSINE-PROTEIN KINASE ABL1,UNMAPPED,unmapped
rawtok_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_2,VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR 2,UNMAPPED,unmapped
rawtok_VOLTAGE_GATED_INWARDLY_RECTIFYING_POTASSIUM_CHANNEL_KCNH2,VOLTAGE-GATED INWARDLY RECTIFYING POTASSIUM CHANNEL KCNH2,ION_CHANNEL_TRANSPORTER,mapped
rawtok_ACTIVATED_CDC42_KINASE_1,ACTIVATED CDC42 KINASE 1,UNMAPPED,unmapped
rawtok_ATR,ATR,PARP_DNA_REPAIR_CHECKPOINT,mapped
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_5,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 5,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_FGFR4,FGFR4,UNMAPPED,unmapped
rawtok_GABRA6,GABRA6,UNMAPPED,unmapped
rawtok_GABRB3,GABRB3,UNMAPPED,unmapped
rawtok_GLRA1,GLRA1,UNMAPPED,unmapped
rawtok_GRIN2A,GRIN2A,UNMAPPED,unmapped
rawtok_GRIN2B,GRIN2B,UNMAPPED,unmapped
rawtok_HDAC7,HDAC7,UNMAPPED,unmapped
rawtok_HRH2,HRH2,UNMAPPED,unmapped
rawtok_HTR1B,HTR1B,UNMAPPED,unmapped
rawtok_HTR1D,HTR1D,UNMAPPED,unmapped
rawtok_IMPDH1,IMPDH1,UNMAPPED,unmapped
rawtok_JNK_AND_P38_SIGNALING,JNK AND P38 SIGNALING,JNK_P38_STRESS_MAPK,mapped
rawtok_MAP2K2,MAP2K2,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_MAPK11,MAPK11,JNK_P38_STRESS_MAPK,mapped
rawtok_MCL1,MCL1,APOPTOSIS_BCL2,mapped
rawtok_MDM2,MDM2,UNMAPPED,unmapped
rawtok_NR3C2,NR3C2,UNMAPPED,unmapped
rawtok_OPRD1,OPRD1,UNMAPPED,unmapped
rawtok_OPRM1,OPRM1,UNMAPPED,unmapped
rawtok_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_BETA,PLATELET-DERIVED GROWTH FACTOR RECEPTOR BETA,UNMAPPED,unmapped
rawtok_RAF1,RAF1,UNMAPPED,unmapped
rawtok_RECEPTOR_INTERACTING_SERINE_THREONINE_PROTEIN_KINASE_2,RECEPTOR-INTERACTING SERINE/THREONINE-PROTEIN KINASE 2,UNMAPPED,unmapped
rawtok_ROCK1,ROCK1,UNMAPPED,unmapped
rawtok_ROCK2,ROCK2,UNMAPPED,unmapped
rawtok_RRM1,RRM1,UNMAPPED,unmapped
rawtok_SCN10A,SCN10A,UNMAPPED,unmapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_10,SERINE/THREONINE-PROTEIN KINASE 10,UNMAPPED,unmapped
rawtok_TNF,TNF,UNMAPPED,unmapped
rawtok_TRAF2_AND_NCK_INTERACTING_PROTEIN_KINASE,TRAF2 AND NCK-INTERACTING PROTEIN KINASE,UNMAPPED,unmapped
rawtok_TUBA1A,TUBA1A,UNMAPPED,unmapped
rawtok_TUBA4A,TUBA4A,UNMAPPED,unmapped
rawtok_TUBB4B,TUBB4B,UNMAPPED,unmapped
rawtok_TYROSINE_PROTEIN_KINASE_ABL2,TYROSINE-PROTEIN KINASE ABL2,UNMAPPED,unmapped
rawtok_TYROSINE_PROTEIN_KINASE_BLK,TYROSINE-PROTEIN KINASE BLK,SRC_LCK_NONRECEPTOR_TK,mapped
rawtok_TYROSINE_PROTEIN_KINASE_FRK,TYROSINE-PROTEIN KINASE FRK,SRC_LCK_NONRECEPTOR_TK,mapped
rawtok_TYROSINE_PROTEIN_KINASE_FYN,TYROSINE-PROTEIN KINASE FYN,SRC_LCK_NONRECEPTOR_TK,mapped
rawtok_TYROSINE_PROTEIN_KINASE_HCK,TYROSINE-PROTEIN KINASE HCK,SRC_LCK_NONRECEPTOR_TK,mapped
rawtok_TYROSINE_PROTEIN_KINASE_LYN,TYROSINE-PROTEIN KINASE LYN,SRC_LCK_NONRECEPTOR_TK,mapped
rawtok_VDR,VDR,UNMAPPED,unmapped
rawtok_VEGFR,VEGFR,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped
rawtok_ABL,ABL,UNMAPPED,unmapped
rawtok_ADORA1,ADORA1,UNMAPPED,unmapped
rawtok_AP2_ASSOCIATED_PROTEIN_KINASE_1,AP2-ASSOCIATED PROTEIN KINASE 1,UNMAPPED,unmapped
rawtok_AURORA_KINASE_B,AURORA KINASE B,CELL_CYCLE_MITOSIS_KINASE,mapped
rawtok_BRD2,BRD2,CHROMATIN_EPIGENETIC,mapped
rawtok_CA1,CA1,UNMAPPED,unmapped
rawtok_CA2,CA2,UNMAPPED,unmapped
rawtok_CACNA1C,CACNA1C,UNMAPPED,unmapped
rawtok_CYCLIN_G_ASSOCIATED_KINASE,CYCLIN-G-ASSOCIATED KINASE,SER_THR_KINASE_SIGNALING,mapped
rawtok_EPHRIN_TYPE_B_RECEPTOR_6,EPHRIN TYPE-B RECEPTOR 6,EPH_RECEPTOR_SIGNALING,mapped
rawtok_EPITHELIAL_DISCOIDIN_DOMAIN_CONTAINING_RECEPTOR_1,EPITHELIAL DISCOIDIN DOMAIN-CONTAINING RECEPTOR 1,UNMAPPED,unmapped
rawtok_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_1,FIBROBLAST GROWTH FACTOR RECEPTOR 1,UNMAPPED,unmapped
rawtok_GABRA4,GABRA4,UNMAPPED,unmapped
rawtok_GABRB1,GABRB1,UNMAPPED,unmapped
rawtok_GRIN1,GRIN1,UNMAPPED,unmapped
rawtok_HDAC10,HDAC10,UNMAPPED,unmapped
rawtok_HDAC11,HDAC11,UNMAPPED,unmapped
rawtok_HMGCR,HMGCR,UNMAPPED,unmapped
rawtok_HTR3A,HTR3A,UNMAPPED,unmapped
rawtok_HTR6,HTR6,UNMAPPED,unmapped
rawtok_IGF1R_SIGNALING,IGF1R SIGNALING,UNMAPPED,unmapped
rawtok_IMPDH2,IMPDH2,UNMAPPED,unmapped
rawtok_KIF11,KIF11,CELL_CYCLE_MITOSIS_KINASE,mapped
rawtok_MACROPHAGE_COLONY_STIMULATING_FACTOR_1_RECEPTOR,MACROPHAGE COLONY-STIMULATING FACTOR 1 RECEPTOR,UNMAPPED,unmapped
rawtok_MAST_STEM_CELL_GROWTH_FACTOR_RECEPTOR_KIT,MAST/STEM CELL GROWTH FACTOR RECEPTOR KIT,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_10,MITOGEN-ACTIVATED PROTEIN KINASE 10,JNK_P38_STRESS_MAPK,mapped
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_20,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 20,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_KINASE_2,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 2,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_PI3KALPHA,PI3KALPHA,UNMAPPED,unmapped
rawtok_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_ALPHA,PLATELET-DERIVED GROWTH FACTOR RECEPTOR ALPHA,UNMAPPED,unmapped
rawtok_PPARA,PPARA,UNMAPPED,unmapped
rawtok_RRM2,RRM2,UNMAPPED,unmapped
rawtok_SCN5A,SCN5A,UNMAPPED,unmapped
rawtok_SERPINA6,SERPINA6,UNMAPPED,unmapped
rawtok_SLC6A3,SLC6A3,ION_CHANNEL_TRANSPORTER,mapped
rawtok_SODIUM_DEPENDENT_DOPAMINE_TRANSPORTER,SODIUM-DEPENDENT DOPAMINE TRANSPORTER,ION_CHANNEL_TRANSPORTER,mapped
rawtok_TYROSINE_PROTEIN_KINASE_FGR,TYROSINE-PROTEIN KINASE FGR,SRC_LCK_NONRECEPTOR_TK,mapped
rawtok_TYROSINE_PROTEIN_KINASE_YES,TYROSINE-PROTEIN KINASE YES,UNMAPPED,unmapped
rawtok_XIAP,XIAP,UNMAPPED,unmapped
rawtok_ALOX5,ALOX5,UNMAPPED,unmapped
rawtok_ATP1A1,ATP1A1,UNMAPPED,unmapped
rawtok_BCL_XL,BCL-XL,APOPTOSIS_BCL2,mapped
rawtok_BMP_2_INDUCIBLE_PROTEIN_KINASE,BMP-2-INDUCIBLE PROTEIN KINASE,UNMAPPED,unmapped
rawtok_BRD3,BRD3,CHROMATIN_EPIGENETIC,mapped
rawtok_CASEIN_KINASE_II_SUBUNIT_ALPHA__2,CASEIN KINASE II SUBUNIT ALPHA',SER_THR_KINASE_SIGNALING,mapped
rawtok_CDK6,CDK6,UNMAPPED,unmapped
rawtok_CITRON_RHO_INTERACTING_KINASE,CITRON RHO-INTERACTING KINASE,UNMAPPED,unmapped
rawtok_CYCLIN_DEPENDENT_KINASE_16,CYCLIN-DEPENDENT KINASE 16,UNMAPPED,unmapped
rawtok_CYCLIN_DEPENDENT_KINASE_7,CYCLIN-DEPENDENT KINASE 7,UNMAPPED,unmapped
rawtok_CYP3A5,CYP3A5,UNMAPPED,unmapped
rawtok_CYTOCHROME_P450_3A4,CYTOCHROME P450 3A4,UNMAPPED,unmapped
rawtok_DISCOIDIN_DOMAIN_CONTAINING_RECEPTOR_2,DISCOIDIN DOMAIN-CONTAINING RECEPTOR 2,UNMAPPED,unmapped
rawtok_DRD1,DRD1,UNMAPPED,unmapped
rawtok_EPHRIN_TYPE_A_RECEPTOR_6,EPHRIN TYPE-A RECEPTOR 6,EPH_RECEPTOR_SIGNALING,mapped
rawtok_ERK2,ERK2,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_FOCAL_ADHESION_KINASE_1,FOCAL ADHESION KINASE 1,UNMAPPED,unmapped
rawtok_GABRD,GABRD,UNMAPPED,unmapped
rawtok_GABRE,GABRE,UNMAPPED,unmapped
rawtok_GABRG1,GABRG1,UNMAPPED,unmapped
rawtok_GABRG3,GABRG3,UNMAPPED,unmapped
rawtok_GABRP,GABRP,UNMAPPED,unmapped
rawtok_GABRQ,GABRQ,UNMAPPED,unmapped
rawtok_GRIN2D,GRIN2D,UNMAPPED,unmapped
rawtok_HIGH_AFFINITY_NERVE_GROWTH_FACTOR_RECEPTOR,HIGH AFFINITY NERVE GROWTH FACTOR RECEPTOR,UNMAPPED,unmapped
rawtok_HOMEODOMAIN_INTERACTING_PROTEIN_KINASE_4,HOMEODOMAIN-INTERACTING PROTEIN KINASE 4,SER_THR_KINASE_SIGNALING,mapped
rawtok_HTR2B,HTR2B,UNMAPPED,unmapped
rawtok_INSR,INSR,UNMAPPED,unmapped
rawtok_LEUCINE_RICH_REPEAT_SERINE_THREONINE_PROTEIN_KINASE_2,LEUCINE-RICH REPEAT SERINE/THREONINE-PROTEIN KINASE 2,UNMAPPED,unmapped
rawtok_LEUKOCYTE_TYROSINE_KINASE_RECEPTOR,LEUKOCYTE TYROSINE KINASE RECEPTOR,UNMAPPED,unmapped
rawtok_MISSHAPEN_LIKE_KINASE_1,MISSHAPEN-LIKE KINASE 1,UNMAPPED,unmapped
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_9,MITOGEN-ACTIVATED PROTEIN KINASE 9,UNMAPPED,unmapped
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_19,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 19,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_KINASE_1,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 1,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_MTORC1,MTORC1,UNMAPPED,unmapped
rawtok_P53_PATHWAY,P53 PATHWAY,UNMAPPED,unmapped
rawtok_PI3KDELTA,PI3KDELTA,UNMAPPED,unmapped
rawtok_PLA2G1B,PLA2G1B,UNMAPPED,unmapped
rawtok_PPARG,PPARG,UNMAPPED,unmapped
rawtok_PTPN1,PTPN1,UNMAPPED,unmapped
rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_2,RECEPTOR TYROSINE-PROTEIN KINASE ERBB-2,ERBB_EGFR_FAMILY_RTK,mapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_B_RAF,SERINE/THREONINE-PROTEIN KINASE B-RAF,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_CHK1,SERINE/THREONINE-PROTEIN KINASE CHK1,PARP_DNA_REPAIR_CHECKPOINT,mapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_D2,SERINE/THREONINE-PROTEIN KINASE D2,UNMAPPED,unmapped
rawtok_STAT3,STAT3,UNMAPPED,unmapped
rawtok_TNKS2,TNKS2,UNMAPPED,unmapped
rawtok_TRPV1,TRPV1,UNMAPPED,unmapped
rawtok_TYROSINE_PROTEIN_KINASE_CSK,TYROSINE-PROTEIN KINASE CSK,UNMAPPED,unmapped
rawtok_UNCHARACTERIZED_PROTEIN_FLJ45252,UNCHARACTERIZED PROTEIN FLJ45252,UNMAPPED,unmapped
rawtok_ACHE,ACHE,UNMAPPED,unmapped
rawtok_ADENOSINE_RECEPTOR_A3,ADENOSINE RECEPTOR A3,UNMAPPED,unmapped
rawtok_ADORA2B,ADORA2B,UNMAPPED,unmapped
rawtok_ADORA3,ADORA3,UNMAPPED,unmapped
rawtok_ADRB3,ADRB3,UNMAPPED,unmapped
rawtok_ATM,ATM,PARP_DNA_REPAIR_CHECKPOINT,mapped
rawtok_BCR,BCR,UNMAPPED,unmapped
rawtok_BILE_SALT_EXPORT_PUMP,BILE SALT EXPORT PUMP,ION_CHANNEL_TRANSPORTER,mapped
rawtok_BMX,BMX,UNMAPPED,unmapped
rawtok_CA14,CA14,UNMAPPED,unmapped
rawtok_CA4,CA4,UNMAPPED,unmapped
rawtok_CACNA1G,CACNA1G,UNMAPPED,unmapped
rawtok_CNR1,CNR1,UNMAPPED,unmapped
rawtok_CNR2,CNR2,UNMAPPED,unmapped
rawtok_DNMT1,DNMT1,UNMAPPED,unmapped
rawtok_DUAL_SPECIFICITY_PROTEIN_KINASE_CLK1,DUAL SPECIFICITY PROTEIN KINASE CLK1,UNMAPPED,unmapped
rawtok_DUAL_SPECIFICITY_PROTEIN_KINASE_CLK2,DUAL SPECIFICITY PROTEIN KINASE CLK2,UNMAPPED,unmapped
rawtok_DUAL_SPECIFICITY_PROTEIN_KINASE_CLK4,DUAL SPECIFICITY PROTEIN KINASE CLK4,UNMAPPED,unmapped
rawtok_DUAL_SPECIFICITY_PROTEIN_KINASE_TTK,DUAL SPECIFICITY PROTEIN KINASE TTK,UNMAPPED,unmapped
rawtok_DUAL_SPECIFICITY_TYROSINE_PHOSPHORYLATION_REGULATED_KINASE_1A,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE 1A,UNMAPPED,unmapped
rawtok_DUAL_SPECIFICITY_TYROSINE_PHOSPHORYLATION_REGULATED_KINASE_1B,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE 1B,UNMAPPED,unmapped
rawtok_EDNRA,EDNRA,UNMAPPED,unmapped
rawtok_ERK1,ERK1,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_ERK5,ERK5,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_2,FIBROBLAST GROWTH FACTOR RECEPTOR 2,UNMAPPED,unmapped
rawtok_GLRB,GLRB,UNMAPPED,unmapped
rawtok_GRIA1,GRIA1,UNMAPPED,unmapped
rawtok_GRIN2C,GRIN2C,UNMAPPED,unmapped
rawtok_GSK3A,GSK3A,UNMAPPED,unmapped
rawtok_HISTONE_DEACETYLASE_6,HISTONE DEACETYLASE 6,CHROMATIN_EPIGENETIC,mapped
rawtok_HORMONE_RELATED,HORMONE-RELATED,UNMAPPED,unmapped
rawtok_HSP90,HSP90,PROTEOSTASIS,mapped
rawtok_HTR1E,HTR1E,UNMAPPED,unmapped
